provider,p_error,date,s_error,p_predicted,catalogued,p_detected,event_id,long,s_detected,s_confidence,plot_path,unique_id,depth,network,s_predicted,lat,p_confidence,time,mag_type,epi_distance,detected,code,mag
Detection,,2024-08-26,,,False,2024-08-26T00:34:50.110000,,,,,,2024-08-26_29,,AM,,,0.36349156498908997,2024-08-26T00:34:50.110000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:37:13.280000,,,,,,2024-08-26_30,,AM,,,0.5381771326065063,2024-08-26T00:37:13.280000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:39:15.070000,,,,,,2024-08-26_31,,AM,,,0.7339822053909302,2024-08-26T00:39:15.070000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:42:17.650000,,,,,,2024-08-26_32,,AM,,,0.4946318566799164,2024-08-26T00:42:17.650000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:43:07.030000,,,,,,2024-08-26_33,,AM,,,0.7010579109191895,2024-08-26T00:43:07.030000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:43:43.920000,,,,,,2024-08-26_34,,AM,,,0.4660559296607971,2024-08-26T00:43:43.920000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:44:44.220000,,,,,,2024-08-26_35,,AM,,,0.15816909074783325,2024-08-26T00:44:44.220000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:45:05.030000,,,,,,2024-08-26_36,,AM,,,0.808773934841156,2024-08-26T00:45:05.030000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:48:07.940000,,,,,,2024-08-26_37,,AM,,,0.10132940113544464,2024-08-26T00:48:07.940000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:48:35.010000,,,,,,2024-08-26_38,,AM,,,0.31847986578941345,2024-08-26T00:48:35.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:49:49.860000,,,,,,2024-08-26_39,,AM,,,0.25884678959846497,2024-08-26T00:49:49.860000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:51:10.940000,,,,,,2024-08-26_40,,AM,,,0.24570763111114502,2024-08-26T00:51:10.940000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:52:27.130000,,,,,,2024-08-26_41,,AM,,,0.4184179902076721,2024-08-26T00:52:27.130000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:53:38.990000,,,,,,2024-08-26_42,,AM,,,0.14618170261383057,2024-08-26T00:53:38.990000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:54:35.980000,,,,,,2024-08-26_43,,AM,,,0.19003146886825562,2024-08-26T00:54:35.980000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:54:46.410000,,,,,,2024-08-26_44,,AM,,,0.20235216617584229,2024-08-26T00:54:46.410000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:55:42.180000,,,,,,2024-08-26_45,,AM,,,0.6400490403175354,2024-08-26T00:55:42.180000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:56:44.630000,,,,,,2024-08-26_46,,AM,,,0.2490243911743164,2024-08-26T00:56:44.630000,,,True,R1F0E,
