depth,plot_path,s_detected,provider,network,p_detected,epi_distance,code,s_confidence,date,time,s_predicted,catalogued,mag_type,s_error,mag,detected,lat,event_id,p_predicted,p_confidence,long,unique_id,p_error
,,,Detection,AM,2024-08-26T00:15:31.030000,,RBE3F,,2024-08-26,2024-08-26T00:15:31.030000,,False,,,,True,,,,0.7394130825996399,,2024-08-26_25,
,,,Detection,AM,2024-08-26T00:16:26.960000,,RBE3F,,2024-08-26,2024-08-26T00:16:26.960000,,False,,,,True,,,,0.5763185620307922,,2024-08-26_26,
,,,Detection,AM,2024-08-26T00:16:27.880000,,RBE3F,,2024-08-26,2024-08-26T00:16:27.880000,,False,,,,True,,,,0.16128788888454437,,2024-08-26_27,
,,,Detection,AM,2024-08-26T00:16:37.770000,,RBE3F,,2024-08-26,2024-08-26T00:16:37.770000,,False,,,,True,,,,0.18880857527256012,,2024-08-26_28,
,,,Detection,AM,2024-08-26T00:17:36,,RBE3F,,2024-08-26,2024-08-26T00:17:36,,False,,,,True,,,,0.882158637046814,,2024-08-26_29,
,,,Detection,AM,2024-08-26T00:18:37.410000,,RBE3F,,2024-08-26,2024-08-26T00:18:37.410000,,False,,,,True,,,,0.18810056149959564,,2024-08-26_30,
,,,Detection,AM,2024-08-26T00:19:52.940000,,RBE3F,,2024-08-26,2024-08-26T00:19:52.940000,,False,,,,True,,,,0.11213509738445282,,2024-08-26_31,
,,,Detection,AM,2024-08-26T00:19:55.960000,,RBE3F,,2024-08-26,2024-08-26T00:19:55.960000,,False,,,,True,,,,0.1188112199306488,,2024-08-26_32,
,,,Detection,AM,2024-08-26T00:19:56.930000,,RBE3F,,2024-08-26,2024-08-26T00:19:56.930000,,False,,,,True,,,,0.19399650394916534,,2024-08-26_33,
,,,Detection,AM,2024-08-26T00:20:53.840000,,RBE3F,,2024-08-26,2024-08-26T00:20:53.840000,,False,,,,True,,,,0.44793424010276794,,2024-08-26_34,
,,,Detection,AM,2024-08-26T00:21:30.910000,,RBE3F,,2024-08-26,2024-08-26T00:21:30.910000,,False,,,,True,,,,0.52511066198349,,2024-08-26_35,
,,,Detection,AM,2024-08-26T00:22:25.880000,,RBE3F,,2024-08-26,2024-08-26T00:22:25.880000,,False,,,,True,,,,0.7318189144134521,,2024-08-26_36,
,,,Detection,AM,2024-08-26T00:22:40.550000,,RBE3F,,2024-08-26,2024-08-26T00:22:40.550000,,False,,,,True,,,,0.4847334921360016,,2024-08-26_37,
,,,Detection,AM,2024-08-26T00:24:06.990000,,RBE3F,,2024-08-26,2024-08-26T00:24:06.990000,,False,,,,True,,,,0.20349706709384918,,2024-08-26_38,
,,,Detection,AM,2024-08-26T00:24:52.960000,,RBE3F,,2024-08-26,2024-08-26T00:24:52.960000,,False,,,,True,,,,0.6419959664344788,,2024-08-26_39,
,,,Detection,AM,2024-08-26T00:24:53.940000,,RBE3F,,2024-08-26,2024-08-26T00:24:53.940000,,False,,,,True,,,,0.10603388398885727,,2024-08-26_40,
,,,Detection,AM,2024-08-26T00:25:10.220000,,RBE3F,,2024-08-26,2024-08-26T00:25:10.220000,,False,,,,True,,,,0.30886802077293396,,2024-08-26_41,
,,,Detection,AM,2024-08-26T00:25:50.220000,,RBE3F,,2024-08-26,2024-08-26T00:25:50.220000,,False,,,,True,,,,0.47277897596359253,,2024-08-26_42,
,,,Detection,AM,2024-08-26T00:27:49.480000,,RBE3F,,2024-08-26,2024-08-26T00:27:49.480000,,False,,,,True,,,,0.10571612417697906,,2024-08-26_43,
,,,Detection,AM,2024-08-26T00:27:51.250000,,RBE3F,,2024-08-26,2024-08-26T00:27:51.250000,,False,,,,True,,,,0.44926202297210693,,2024-08-26_44,
,,,Detection,AM,2024-08-26T00:28:41.660000,,RBE3F,,2024-08-26,2024-08-26T00:28:41.660000,,False,,,,True,,,,0.19392244517803192,,2024-08-26_45,
,,,Detection,AM,2024-08-26T00:28:51.370000,,RBE3F,,2024-08-26,2024-08-26T00:28:51.370000,,False,,,,True,,,,0.1115403026342392,,2024-08-26_46,
,,,Detection,AM,2024-08-26T00:29:24.030000,,RBE3F,,2024-08-26,2024-08-26T00:29:24.030000,,False,,,,True,,,,0.6628020405769348,,2024-08-26_47,
,,,Detection,AM,2024-08-26T00:29:33.250000,,RBE3F,,2024-08-26,2024-08-26T00:29:33.250000,,False,,,,True,,,,0.5634796023368835,,2024-08-26_48,
