time,lat,detected,epi_distance,code,plot_path,depth,long,date,p_detected,p_confidence,unique_id,s_detected,network,s_confidence,catalogued,p_error,s_predicted,mag,s_error,provider,mag_type,p_predicted,event_id
2024-06-03T07:22:08,,True,,R50D6,,,,2024-06-03,2024-06-03T07:22:08,0.8047124147415161,2024-06-03_32,,AM,,False,,,,,Detection,,,
2024-06-03T07:42:09,,True,,R50D6,,,,2024-06-03,2024-06-03T07:42:09,0.5683016777038574,2024-06-03_33,,AM,,False,,,,,Detection,,,
2024-06-03T07:47:38.020000,,True,,R50D6,,,,2024-06-03,2024-06-03T07:47:38.020000,0.6289041638374329,2024-06-03_34,,AM,,False,,,,,Detection,,,
2024-06-03T07:56:24.030000,,True,,R50D6,,,,2024-06-03,2024-06-03T07:56:24.030000,0.5341817140579224,2024-06-03_35,,AM,,False,,,,,Detection,,,
2024-06-03T08:00:06.020000,,True,,R50D6,,,,2024-06-03,2024-06-03T08:00:06.020000,0.7414174675941467,2024-06-03_36,,AM,,False,,,,,Detection,,,
2024-06-03T08:03:12.140000,,True,,R50D6,,,,2024-06-03,2024-06-03T08:03:12.140000,0.825117826461792,2024-06-03_37,,AM,,False,,,,,Detection,,,
2024-06-03T08:03:53.100000,,True,,R50D6,,,,2024-06-03,2024-06-03T08:03:53.100000,0.7519819140434265,2024-06-03_38,,AM,,False,,,,,Detection,,,
2024-06-03T08:36:36.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T08:36:36.010000,0.7193385362625122,2024-06-03_39,,AM,,False,,,,,Detection,,,
2024-06-03T08:40:23.510000,,True,,R50D6,,,,2024-06-03,2024-06-03T08:40:23.510000,0.6170117259025574,2024-06-03_40,,AM,,False,,,,,Detection,,,
2024-06-03T09:35:28.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T09:35:28.010000,0.6836096048355103,2024-06-03_41,,AM,,False,,,,,Detection,,,
2024-06-03T09:39:38.760000,,True,,R50D6,,,,2024-06-03,2024-06-03T09:39:38.760000,0.7380391955375671,2024-06-03_42,,AM,,False,,,,,Detection,,,
2024-06-03T09:42:05.990000,,True,,R50D6,,,,2024-06-03,2024-06-03T09:42:05.990000,0.5719605684280396,2024-06-03_43,,AM,,False,,,,,Detection,,,
2024-06-03T10:20:37.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T10:20:37.010000,0.7510641813278198,2024-06-03_44,,AM,,False,,,,,Detection,,,
2024-06-03T10:26:46.120000,,True,,R50D6,,,,2024-06-03,2024-06-03T10:26:46.120000,0.5597245693206787,2024-06-03_45,,AM,,False,,,,,Detection,,,
2024-06-03T10:28:35.020000,,True,,R50D6,,,,2024-06-03,2024-06-03T10:28:35.020000,0.5615606307983398,2024-06-03_46,,AM,,False,,,,,Detection,,,
2024-06-03T11:11:22.070000,,True,,R50D6,,,,2024-06-03,2024-06-03T11:11:22.070000,0.7164725065231323,2024-06-03_47,,AM,,False,,,,,Detection,,,
2024-06-03T12:33:45.770000,,True,,R50D6,,,,2024-06-03,2024-06-03T12:33:45.770000,0.6139656901359558,2024-06-03_48,,AM,,False,,,,,Detection,,,
2024-06-03T12:52:38.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T12:52:38.010000,0.6810536980628967,2024-06-03_49,,AM,,False,,,,,Detection,,,
2024-06-03T13:42:42.820000,,True,,R50D6,,,,2024-06-03,2024-06-03T13:42:42.820000,0.6889550685882568,2024-06-03_50,,AM,,False,,,,,Detection,,,
2024-06-03T14:05:08,,True,,R50D6,,,,2024-06-03,2024-06-03T14:05:08,0.8635316491127014,2024-06-03_51,,AM,,False,,,,,Detection,,,
2024-06-03T14:20:34.050000,,True,,R50D6,,,,2024-06-03,2024-06-03T14:20:34.050000,0.6057406663894653,2024-06-03_52,,AM,,False,,,,,Detection,,,
2024-06-03T15:03:07.990000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:03:07.990000,0.5342793464660645,2024-06-03_53,,AM,,False,,,,,Detection,,,
2024-06-03T15:12:53.030000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:12:53.030000,0.8476800918579102,2024-06-03_54,,AM,,False,,,,,Detection,,,
2024-06-03T15:19:06.200000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:19:06.200000,0.5617250800132751,2024-06-03_55,,AM,,False,,,,,Detection,,,
2024-06-03T15:32:36,,True,,R50D6,,,,2024-06-03,2024-06-03T15:32:36,0.7709720134735107,2024-06-03_56,,AM,,False,,,,,Detection,,,
2024-06-03T15:33:37.080000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:33:37.080000,0.5446479916572571,2024-06-03_57,,AM,,False,,,,,Detection,,,
2024-06-03T15:39:32.110000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:39:32.110000,0.8178263902664185,2024-06-03_58,,AM,,False,,,,,Detection,,,
2024-06-03T15:41:26.070000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:41:26.070000,0.5217253565788269,2024-06-03_59,,AM,,False,,,,,Detection,,,
2024-06-03T15:44:35.030000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:44:35.030000,0.5845099091529846,2024-06-03_60,,AM,,False,,,,,Detection,,,
2024-06-03T15:52:23.200000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:52:23.200000,0.5295513868331909,2024-06-03_61,,AM,,False,,,,,Detection,,,
2024-06-03T15:57:28.420000,,True,,R50D6,,,,2024-06-03,2024-06-03T15:57:28.420000,0.7638884782791138,2024-06-03_62,,AM,,False,,,,,Detection,,,
2024-06-03T16:01:07.040000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:01:07.040000,0.680406928062439,2024-06-03_63,,AM,,False,,,,,Detection,,,
2024-06-03T16:04:52.120000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:04:52.120000,0.6868288516998291,2024-06-03_64,,AM,,False,,,,,Detection,,,
2024-06-03T16:15:53.060000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:15:53.060000,0.726604163646698,2024-06-03_65,,AM,,False,,,,,Detection,,,
2024-06-03T16:18:08.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:18:08.010000,0.7845644950866699,2024-06-03_66,,AM,,False,,,,,Detection,,,
2024-06-03T16:20:05.030000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:20:05.030000,0.5768459439277649,2024-06-03_67,,AM,,False,,,,,Detection,,,
2024-06-03T16:27:37,,True,,R50D6,,,,2024-06-03,2024-06-03T16:27:37,0.7145929336547852,2024-06-03_68,,AM,,False,,,,,Detection,,,
2024-06-03T16:29:08.990000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:29:08.990000,0.8754300475120544,2024-06-03_69,,AM,,False,,,,,Detection,,,
2024-06-03T16:37:35.990000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:37:35.990000,0.525941014289856,2024-06-03_70,,AM,,False,,,,,Detection,,,
2024-06-03T16:39:36,,True,,R50D6,,,,2024-06-03,2024-06-03T16:39:36,0.7930233478546143,2024-06-03_71,,AM,,False,,,,,Detection,,,
2024-06-03T16:44:51.960000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:44:51.960000,0.5135051012039185,2024-06-03_72,,AM,,False,,,,,Detection,,,
2024-06-03T16:46:52.060000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:46:52.060000,0.5658629536628723,2024-06-03_73,,AM,,False,,,,,Detection,,,
2024-06-03T16:49:06.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:49:06.010000,0.5422529578208923,2024-06-03_74,,AM,,False,,,,,Detection,,,
2024-06-03T16:49:39.850000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:49:39.850000,0.5205475687980652,2024-06-03_75,,AM,,False,,,,,Detection,,,
2024-06-03T16:57:22.070000,,True,,R50D6,,,,2024-06-03,2024-06-03T16:57:22.070000,0.5361117720603943,2024-06-03_76,,AM,,False,,,,,Detection,,,
2024-06-03T17:31:49.530000,,True,,R50D6,,,,2024-06-03,2024-06-03T17:31:49.530000,0.5290958881378174,2024-06-03_77,,AM,,False,,,,,Detection,,,
2024-06-03T17:39:07.990000,,True,,R50D6,,,,2024-06-03,2024-06-03T17:39:07.990000,0.6657075881958008,2024-06-03_78,,AM,,False,,,,,Detection,,,
2024-06-03T17:52:07.990000,,True,,R50D6,,,,2024-06-03,2024-06-03T17:52:07.990000,0.8290612101554871,2024-06-03_79,,AM,,False,,,,,Detection,,,
2024-06-03T17:56:23.060000,,True,,R50D6,,,,2024-06-03,2024-06-03T17:56:23.060000,0.7043256163597107,2024-06-03_80,,AM,,False,,,,,Detection,,,
2024-06-03T18:06:39,,True,,R50D6,,,,2024-06-03,2024-06-03T18:06:39,0.8761113286018372,2024-06-03_81,,AM,,False,,,,,Detection,,,
2024-06-03T18:18:09.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T18:18:09.010000,0.8488384485244751,2024-06-03_82,,AM,,False,,,,,Detection,,,
2024-06-03T18:31:23.070000,,True,,R50D6,,,,2024-06-03,2024-06-03T18:31:23.070000,0.6367391347885132,2024-06-03_83,,AM,,False,,,,,Detection,,,
2024-06-03T18:50:42.670000,,True,,R50D6,,,,2024-06-03,2024-06-03T18:50:42.670000,0.5956529378890991,2024-06-03_84,,AM,,False,,,,,Detection,,,
2024-06-03T19:05:07.030000,,True,,R50D6,,,,2024-06-03,2024-06-03T19:05:07.030000,0.5676019787788391,2024-06-03_85,,AM,,False,,,,,Detection,,,
2024-06-03T19:06:38.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T19:06:38.010000,0.6606943011283875,2024-06-03_86,,AM,,False,,,,,Detection,,,
2024-06-03T19:30:52.090000,,True,,R50D6,,,,2024-06-03,2024-06-03T19:30:52.090000,0.7269266247749329,2024-06-03_87,,AM,,False,,,,,Detection,,,
2024-06-03T20:13:03.410000,,True,,R50D6,,,,2024-06-03,2024-06-03T20:13:03.410000,0.6126285195350647,2024-06-03_88,,AM,,False,,,,,Detection,,,
2024-06-03T20:24:38.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T20:24:38.010000,0.7039612531661987,2024-06-03_89,,AM,,False,,,,,Detection,,,
2024-06-03T20:25:25.080000,,True,,R50D6,,,,2024-06-03,2024-06-03T20:25:25.080000,0.533981204032898,2024-06-03_90,,AM,,False,,,,,Detection,,,
2024-06-03T20:25:52.140000,,True,,R50D6,,,,2024-06-03,2024-06-03T20:25:52.140000,0.8146995902061462,2024-06-03_91,,AM,,False,,,,,Detection,,,
2024-06-03T20:39:20.960000,,True,,R50D6,,,,2024-06-03,2024-06-03T20:39:20.960000,0.5992173552513123,2024-06-03_92,,AM,,False,,,,,Detection,,,
2024-06-03T20:40:36.110000,,True,,R50D6,,,,2024-06-03,2024-06-03T20:40:36.110000,0.601656973361969,2024-06-03_93,,AM,,False,,,,,Detection,,,
2024-06-03T21:22:56.090000,,True,,R50D6,,,,2024-06-03,2024-06-03T21:22:56.090000,0.6805316805839539,2024-06-03_94,,AM,,False,,,,,Detection,,,
2024-06-03T21:23:22.050000,,True,,R50D6,,,,2024-06-03,2024-06-03T21:23:22.050000,0.580854594707489,2024-06-03_95,,AM,,False,,,,,Detection,,,
2024-06-03T22:04:45.340000,,True,,R50D6,,,,2024-06-03,2024-06-03T22:04:45.340000,0.5810593366622925,2024-06-03_96,,AM,,False,,,,,Detection,,,
2024-06-03T22:19:40.260000,,True,,R50D6,,,,2024-06-03,2024-06-03T22:19:40.260000,0.720536470413208,2024-06-03_97,,AM,,False,,,,,Detection,,,
2024-06-03T22:36:52.080000,,True,,R50D6,,,,2024-06-03,2024-06-03T22:36:52.080000,0.5447255373001099,2024-06-03_98,,AM,,False,,,,,Detection,,,
2024-06-03T22:44:21.080000,,True,,R50D6,,,,2024-06-03,2024-06-03T22:44:21.080000,0.5132150053977966,2024-06-03_99,,AM,,False,,,,,Detection,,,
2024-06-03T22:48:06.930000,,True,,R50D6,,,,2024-06-03,2024-06-03T22:48:06.930000,0.6166061758995056,2024-06-03_100,,AM,,False,,,,,Detection,,,
2024-06-03T22:50:19.050000,,True,,R50D6,,,,2024-06-03,2024-06-03T22:50:19.050000,0.6697359681129456,2024-06-03_101,,AM,,False,,,,,Detection,,,
2024-06-03T23:00:21.080000,,True,,R50D6,,,,2024-06-03,2024-06-03T23:00:21.080000,0.5581763386726379,2024-06-03_102,,AM,,False,,,,,Detection,,,
2024-06-03T23:27:41.180000,,True,,R50D6,,,,2024-06-03,2024-06-03T23:27:41.180000,0.6622866988182068,2024-06-03_103,,AM,,False,,,,,Detection,,,
2024-06-03T23:41:34.530000,,True,,R50D6,,,,2024-06-03,2024-06-03T23:41:34.530000,0.7360194325447083,2024-06-03_104,,AM,,False,,,,,Detection,,,
2024-06-03T23:42:50.510000,,True,,R50D6,,,,2024-06-03,2024-06-03T23:42:50.510000,0.8970274925231934,2024-06-03_105,,AM,,False,,,,,Detection,,,
2024-06-03T23:43:43.130000,,True,,R50D6,,,,2024-06-03,2024-06-03T23:43:43.130000,0.5647875666618347,2024-06-03_106,,AM,,False,,,,,Detection,,,
2024-06-03T23:45:04.520000,,True,,R50D6,,,,2024-06-03,2024-06-03T23:45:04.520000,0.7782964110374451,2024-06-03_107,,AM,,False,,,,,Detection,,,
2024-06-03T23:51:50.140000,,True,,R50D6,,,,2024-06-03,2024-06-03T23:51:50.140000,0.7181668281555176,2024-06-03_108,,AM,,False,,,,,Detection,,,
