time,lat,detected,epi_distance,code,plot_path,depth,long,date,p_detected,p_confidence,unique_id,s_detected,network,s_confidence,catalogued,p_error,s_predicted,mag,s_error,provider,mag_type,p_predicted,event_id
2024-06-01T23:55:33.200000,51.58,False,1221.149185606246,R50D6,,10.0,16.031,2024-06-01,,,2024-06-01_228,,AM,,True,,2024-06-02T00:00:17.227849,2.97,,GFZ,m,2024-06-01T23:58:12.004719,smi:org.gfz-potsdam.de/geofon/gfz2024ktnv
2024-06-01T05:20:35.080000,-7.102,False,6962.309245447129,R50D6,,10.0,-13.074,2024-06-01,,,2024-06-01_229,,AM,,True,,2024-06-01T05:39:28.530301,4.94,,GFZ,mb,2024-06-01T05:30:59.739055,smi:org.gfz-potsdam.de/geofon/gfz2024ksdb
2024-06-01T04:06:58.900000,14.792,False,8809.653957419576,R50D6,,22.0,-93.783,2024-06-01,,,2024-06-01_230,,AM,,True,,2024-06-01T04:29:08.622671,4.72,,GFZ,mb,2024-06-01T04:19:06.345690,smi:org.gfz-potsdam.de/geofon/gfz2024ksaq
2024-06-01T02:37:32.820000,28.919,False,9673.406836712356,R50D6,,10.0,131.154,2024-06-01,,,2024-06-01_231,,AM,,True,,2024-06-01T03:01:02.100006,5.47,,GFZ,mb,2024-06-01T02:50:20.827912,smi:org.gfz-potsdam.de/geofon/gfz2024krxr
2024-06-01T01:08:06.310000,56.363,True,7545.865027710934,R50D6,,208.2,160.014,2024-06-01,2024-06-01T01:19:07.030000,0.769415020942688,2024-06-01_232,,AM,,True,-0.777587,2024-06-01T01:28:09.375524,4.79,,GFZ,mb,2024-06-01T01:19:07.807587,smi:org.gfz-potsdam.de/geofon/gfz2024krus
2024-06-01T00:46:38.440000,34.181,False,6847.530021536673,R50D6,,10.0,86.394,2024-06-01,,,2024-06-01_233,,AM,,True,,2024-06-01T01:05:23.199567,5.89,,GFZ,mw,2024-06-01T00:56:58.472654,smi:org.gfz-potsdam.de/geofon/gfz2024krua
2024-06-01T00:32:38.430000,24.37,False,9714.190968065066,R50D6,,10.0,122.063,2024-06-01,,,2024-06-01_234,,AM,,True,,2024-06-01T00:56:10.995408,4.88,,GFZ,mb,2024-06-01T00:45:28.095826,smi:org.gfz-potsdam.de/geofon/gfz2024krto
2024-06-01T00:29:27.420000,45.021,False,8539.368651506706,R50D6,,91.2,147.388,2024-06-01,,,2024-06-01_235,,AM,,True,,2024-06-01T00:51:12.563834,4.75,,GFZ,mb,2024-06-01T00:41:22.188094,smi:org.gfz-potsdam.de/geofon/gfz2024krtl
2024-06-01T00:00:21.090000,,True,,R50D6,,,,2024-06-01,2024-06-01T00:00:21.090000,0.6973068118095398,2024-06-01_09,,AM,,False,,,,,Detection,,,
2024-06-01T00:05:36.850000,,True,,R50D6,,,,2024-06-01,2024-06-01T00:05:36.850000,0.541573166847229,2024-06-01_10,,AM,,False,,,,,Detection,,,
