long,p_confidence,p_predicted,code,p_error,unique_id,mag_type,plot_path,lat,s_detected,depth,s_predicted,epi_distance,provider,s_confidence,p_detected,date,time,catalogued,network,s_error,event_id,mag,detected
160.846,,2024-08-24T00:09:14.868890,R50D6,,2024-08-23_175,mb,,52.859,,5.3,2024-08-24T00:18:36.196884,7938.558341793679,GFZ,,,2024-08-23,2024-08-23T23:57:51.560000,True,AM,,smi:org.gfz-potsdam.de/geofon/gfz2024qpeq,4.97,False
160.942,,2024-08-23T21:49:07.146329,R50D6,,2024-08-23_176,mb,,52.828,,10.0,2024-08-23T21:58:28.700344,7943.129842194111,GFZ,,,2024-08-23,2024-08-23T21:37:43.590000,True,AM,,smi:org.gfz-potsdam.de/geofon/gfz2024qpaa,5.05,False
71.209,,2024-08-23T20:41:53.240757,R50D6,,2024-08-23_177,mb,,39.849,,18.2,2024-08-23T20:49:01.046908,5461.106003045571,GFZ,,,2024-08-23,2024-08-23T20:33:03.150000,True,AM,,smi:org.gfz-potsdam.de/geofon/gfz2024qoxv,4.75,False
160.621,,2024-08-23T19:30:27.341091,R50D6,,2024-08-23_178,mb,,53.003,,10.0,2024-08-23T19:39:47.749649,7920.030103429638,GFZ,,,2024-08-23,2024-08-23T19:19:05.040000,True,AM,,smi:org.gfz-potsdam.de/geofon/gfz2024qovl,5.17,False
16.27,,2024-08-23T17:17:08.016681,R50D6,,2024-08-23_179,mb,,51.498,,0.8,2024-08-23T17:19:15.076658,1239.9548271053554,GFZ,,,2024-08-23,2024-08-23T17:14:26.890000,True,AM,,smi:org.gfz-potsdam.de/geofon/gfz2024qorj,3.4,False
160.908,,2024-08-23T07:21:02.848393,R50D6,,2024-08-23_180,mb,,52.771,,29.0,2024-08-23T07:30:24.687955,7948.942227380042,GFZ,,,2024-08-23,2024-08-23T07:09:38.980000,True,AM,,smi:org.gfz-potsdam.de/geofon/gfz2024qnxk,5.18,False
160.99,,2024-08-23T05:18:12.619613,R50D6,,2024-08-23_181,m,,52.735,,10.0,2024-08-23T05:27:34.706184,7953.886707137593,GFZ,,,2024-08-23,2024-08-23T05:06:48.480000,True,AM,,smi:org.gfz-potsdam.de/geofon/gfz2024qnti,5.4,False
,0.8153244853019714,,R50D6,,2024-08-23_08,,,,,,,,Detection,,2024-08-22T23:56:35.900000,2024-08-23,2024-08-22T23:56:35.900000,False,AM,,,,True
,0.3499375879764557,,R50D6,,2024-08-23_09,,,,,,,,Detection,,2024-08-23T00:05:05,2024-08-23,2024-08-23T00:05:05,False,AM,,,,True
,0.319323867559433,,R50D6,,2024-08-23_10,,,,,,,,Detection,,2024-08-23T00:16:52.060000,2024-08-23,2024-08-23T00:16:52.060000,False,AM,,,,True
