network,provider,long,plot_path,p_error,s_detected,detected,s_predicted,catalogued,event_id,depth,date,mag,p_predicted,epi_distance,unique_id,p_detected,code,time,s_error,mag_type,lat,p_confidence,s_confidence
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_32,2024-08-23T01:43:24.110000,R50D6,2024-08-23T01:43:24.110000,,,,0.443050354719162,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_33,2024-08-23T01:57:30.400000,R50D6,2024-08-23T01:57:30.400000,,,,0.7367016077041626,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_34,,R50D6,2024-08-23T01:57:34.270000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_35,2024-08-23T02:11:54.090000,R50D6,2024-08-23T02:11:54.090000,,,,0.3254780769348144,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_36,2024-08-23T02:16:35.020000,R50D6,2024-08-23T02:16:35.020000,,,,0.7881516814231873,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_37,2024-08-23T02:19:35.980000,R50D6,2024-08-23T02:19:35.980000,,,,0.357687771320343,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_38,2024-08-23T02:24:06,R50D6,2024-08-23T02:24:06,,,,0.5255337357521057,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_39,2024-08-23T02:27:43.870000,R50D6,2024-08-23T02:27:43.870000,,,,0.2445470988750457,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_40,,R50D6,2024-08-23T02:27:46.680000,,,,,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_41,2024-08-23T02:37:52.760000,R50D6,2024-08-23T02:37:52.760000,,,,0.3639522492885589,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_42,2024-08-23T02:42:44.970000,R50D6,2024-08-23T02:42:44.970000,,,,0.6905864477157593,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_43,2024-08-23T02:43:10.140000,R50D6,2024-08-23T02:43:10.140000,,,,0.6037183403968811,
AM,Detection,,,,,True,,False,,,2024-08-23,,,,2024-08-23_44,2024-08-23T02:43:44.590000,R50D6,2024-08-23T02:43:44.590000,,,,0.3332608342170715,
