provider,event_id,s_predicted,lat,p_predicted,p_detected,plot_path,s_detected,code,s_confidence,mag,epi_distance,unique_id,time,s_error,date,network,p_error,long,depth,detected,mag_type,p_confidence,catalogued
EMSC,quakeml:eu.emsc/event/20240615_0000240,2024-06-15T22:09:58.589536,15.98,2024-06-15T21:59:51.516621,,,,R50D6,,3.9,8912.409926964814,2024-06-15_123,2024-06-15T21:47:39,,2024-06-15,AM,,-97.13,14.8,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000215,2024-06-15T21:47:04.309086,35.9234,2024-06-15T21:42:24.317554,,,,R50D6,,2.5,3080.976598823413,2024-06-15_124,2024-06-15T21:36:29.510000,,2024-06-15,AM,,28.0657,10.1,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000212,2024-06-15T21:45:46.621215,58.7456,2024-06-15T21:37:22.667913,2024-06-15T21:37:39,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_125_event_plot.png?raw=true,,R50D6,,3.3,6825.595775405629,2024-06-15_125,2024-06-15T21:27:03.517000,,2024-06-15,AM,16.332087,-138.6762,10.0,True,m,0.3723693788051605,True
EMSC,quakeml:eu.emsc/event/20240615_0000259,2024-06-15T21:39:36.638724,41.7872,2024-06-15T21:30:39.312750,,,,R50D6,,2.2,7466.511606184719,2024-06-15_126,2024-06-15T21:19:42.530000,,2024-06-15,AM,,-112.8153,5.2,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000216,2024-06-15T21:22:59.347356,38.3688,2024-06-15T21:19:08.419399,,,,R50D6,,2.1,2226.131326544028,2024-06-15_127,2024-06-15T21:14:28.250000,,2024-06-15,AM,,15.4348,120.6,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000213,2024-06-15T21:26:48.402918,18.0575,2024-06-15T21:18:26.318474,,,,R50D6,,2.6,6809.019637182925,2024-06-15_128,2024-06-15T21:08:09.300000,,2024-06-15,AM,,-66.9958,23.4,False,md,,True
EMSC,quakeml:eu.emsc/event/20240615_0000241,2024-06-15T21:11:22.075601,14.04,2024-06-15T21:01:18.656135,,,,R50D6,,4.0,8834.842146927502,2024-06-15_129,2024-06-15T20:49:10,,2024-06-15,AM,,-93.11,10.0,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000209,2024-06-15T20:57:31.325055,37.7097,2024-06-15T20:52:44.669404,,,,R50D6,,1.9,2998.930802760855,2024-06-15_130,2024-06-15T20:46:57,,2024-06-15,AM,,29.3367,6.9,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000242,2024-06-15T21:08:24.856456,13.86,2024-06-15T20:58:21.543444,,,,R50D6,,3.9,8832.690524088855,2024-06-15_131,2024-06-15T20:46:13,,2024-06-15,AM,,-92.82,10.0,False,m,,True
EMSC,quakeml:eu.emsc/event/20240615_0000204,2024-06-15T20:41:53.076279,37.9185,2024-06-15T20:37:58.983561,,,,R50D6,,2.2,2270.7892708326744,2024-06-15_132,2024-06-15T20:33:14.990000,,2024-06-15,AM,,15.4573,10.5,False,ml,,True
