p_detected,plot_path,epi_distance,time,depth,detected,p_predicted,catalogued,mag_type,network,date,s_confidence,long,mag,s_error,p_confidence,provider,event_id,s_detected,lat,unique_id,p_error,s_predicted,code
2024-07-01T01:37:51.050000,,,2024-07-01T01:37:51.050000,,True,,False,,AM,2024-07-01,,,,,0.653323769569397,Detection,,,,2024-07-01_31,,,R50D6
2024-07-01T01:37:52.010000,,,2024-07-01T01:37:52.010000,,True,,False,,AM,2024-07-01,,,,,0.22563160955905914,Detection,,,,2024-07-01_32,,,R50D6
2024-07-01T01:39:42.870000,,,2024-07-01T01:39:42.870000,,True,,False,,AM,2024-07-01,,,,,0.2714485824108124,Detection,,,,2024-07-01_33,,,R50D6
2024-07-01T01:42:25.320000,,,2024-07-01T01:42:25.320000,,True,,False,,AM,2024-07-01,,,,,0.3895138204097748,Detection,,,,2024-07-01_34,,,R50D6
2024-07-01T01:47:54.290000,,,2024-07-01T01:47:54.290000,,True,,False,,AM,2024-07-01,,,,,0.23511096835136414,Detection,,,,2024-07-01_35,,,R50D6
2024-07-01T01:49:07.020000,,,2024-07-01T01:49:07.020000,,True,,False,,AM,2024-07-01,,,,,0.4166315495967865,Detection,,,,2024-07-01_36,,,R50D6
2024-07-01T01:49:08.010000,,,2024-07-01T01:49:08.010000,,True,,False,,AM,2024-07-01,,,,,0.23272407054901123,Detection,,,,2024-07-01_37,,,R50D6
2024-07-01T01:50:48.240000,,,2024-07-01T01:50:48.240000,,True,,False,,AM,2024-07-01,,,,,0.453451007604599,Detection,,,,2024-07-01_38,,,R50D6
2024-07-01T01:55:39.410000,,,2024-07-01T01:55:39.410000,,True,,False,,AM,2024-07-01,,,,,0.48735466599464417,Detection,,,,2024-07-01_39,,,R50D6
2024-07-01T01:57:07.010000,,,2024-07-01T01:57:07.010000,,True,,False,,AM,2024-07-01,,,,,0.8624732494354248,Detection,,,,2024-07-01_40,,,R50D6
2024-07-01T02:15:53.120000,,,2024-07-01T02:15:53.120000,,True,,False,,AM,2024-07-01,,,,,0.7057668566703796,Detection,,,,2024-07-01_41,,,R50D6
2024-07-01T02:16:22.030000,,,2024-07-01T02:16:22.030000,,True,,False,,AM,2024-07-01,,,,,0.2953314185142517,Detection,,,,2024-07-01_42,,,R50D6
2024-07-01T02:19:01.120000,,,2024-07-01T02:19:01.120000,,True,,False,,AM,2024-07-01,,,,,0.5588731169700623,Detection,,,,2024-07-01_43,,,R50D6
2024-07-01T02:20:23.900000,,,2024-07-01T02:20:23.900000,,True,,False,,AM,2024-07-01,,,,,0.6314880847930908,Detection,,,,2024-07-01_44,,,R50D6
2024-07-01T02:20:53.020000,,,2024-07-01T02:20:53.020000,,True,,False,,AM,2024-07-01,,,,,0.5664408802986145,Detection,,,,2024-07-01_45,,,R50D6
2024-07-01T02:20:54,,,2024-07-01T02:20:54,,True,,False,,AM,2024-07-01,,,,,0.2078416496515274,Detection,,,,2024-07-01_46,,,R50D6
2024-07-01T02:26:38,,,2024-07-01T02:26:38,,True,,False,,AM,2024-07-01,,,,,0.632335364818573,Detection,,,,2024-07-01_47,,,R50D6
2024-07-01T02:35:23.470000,,,2024-07-01T02:35:23.470000,,True,,False,,AM,2024-07-01,,,,,0.31942424178123474,Detection,,,,2024-07-01_48,,,R50D6
,,,2024-07-01T02:35:24.050000,,True,,False,,AM,2024-07-01,,,,,,Detection,,,,2024-07-01_49,,,R50D6
2024-07-01T02:46:57.200000,,,2024-07-01T02:46:57.200000,,True,,False,,AM,2024-07-01,,,,,0.516664981842041,Detection,,,,2024-07-01_50,,,R50D6
2024-07-01T02:53:54.090000,,,2024-07-01T02:53:54.090000,,True,,False,,AM,2024-07-01,,,,,0.7289851903915405,Detection,,,,2024-07-01_51,,,R50D6
2024-07-01T02:59:37.960000,,,2024-07-01T02:59:37.960000,,True,,False,,AM,2024-07-01,,,,,0.2479211986064911,Detection,,,,2024-07-01_52,,,R50D6
2024-07-01T03:02:12.940000,,,2024-07-01T03:02:12.940000,,True,,False,,AM,2024-07-01,,,,,0.6671957969665527,Detection,,,,2024-07-01_53,,,R50D6
2024-07-01T03:07:40.530000,,,2024-07-01T03:07:40.530000,,True,,False,,AM,2024-07-01,,,,,0.24194486439228058,Detection,,,,2024-07-01_54,,,R50D6
2024-07-01T03:09:33.820000,,,2024-07-01T03:09:33.820000,,True,,False,,AM,2024-07-01,,,,,0.26152583956718445,Detection,,,,2024-07-01_55,,,R50D6
2024-07-01T03:18:37.020000,,,2024-07-01T03:18:37.020000,,True,,False,,AM,2024-07-01,,,,,0.2293398529291153,Detection,,,,2024-07-01_56,,,R50D6
2024-07-01T03:18:37.990000,,,2024-07-01T03:18:37.990000,,True,,False,,AM,2024-07-01,,,,,0.676794707775116,Detection,,,,2024-07-01_57,,,R50D6
2024-07-01T03:29:12.740000,,,2024-07-01T03:29:12.740000,,True,,False,,AM,2024-07-01,,,,,0.23589876294136047,Detection,,,,2024-07-01_58,,,R50D6
2024-07-01T03:47:38.980000,,,2024-07-01T03:47:38.980000,,True,,False,,AM,2024-07-01,,,,,0.7026844024658203,Detection,,,,2024-07-01_59,,,R50D6
2024-07-01T03:55:39.010000,,,2024-07-01T03:55:39.010000,,True,,False,,AM,2024-07-01,,,,,0.8247423768043518,Detection,,,,2024-07-01_60,,,R50D6
2024-07-01T04:01:16.590000,,,2024-07-01T04:01:16.590000,,True,,False,,AM,2024-07-01,,,,,0.2529563307762146,Detection,,,,2024-07-01_61,,,R50D6
2024-07-01T04:17:21.880000,,,2024-07-01T04:17:21.880000,,True,,False,,AM,2024-07-01,,,,,0.8458876013755798,Detection,,,,2024-07-01_62,,,R50D6
,,,2024-07-01T04:17:22.250000,,True,,False,,AM,2024-07-01,,,,,,Detection,,,,2024-07-01_63,,,R50D6
2024-07-01T04:22:36.990000,,,2024-07-01T04:22:36.990000,,True,,False,,AM,2024-07-01,,,,,0.5583996772766113,Detection,,,,2024-07-01_64,,,R50D6
2024-07-01T04:26:24.010000,,,2024-07-01T04:26:24.010000,,True,,False,,AM,2024-07-01,,,,,0.36738812923431396,Detection,,,,2024-07-01_65,,,R50D6
2024-07-01T04:33:53,,,2024-07-01T04:33:53,,True,,False,,AM,2024-07-01,,,,,0.7363027334213257,Detection,,,,2024-07-01_66,,,R50D6
2024-07-01T04:35:58.360000,,,2024-07-01T04:35:58.360000,,True,,False,,AM,2024-07-01,,,,,0.5208491683006287,Detection,,,,2024-07-01_67,,,R50D6
2024-07-01T04:36:22.070000,,,2024-07-01T04:36:22.070000,,True,,False,,AM,2024-07-01,,,,,0.6867411732673645,Detection,,,,2024-07-01_68,,,R50D6
2024-07-01T04:39:36.970000,,,2024-07-01T04:39:36.970000,,True,,False,,AM,2024-07-01,,,,,0.20873795449733734,Detection,,,,2024-07-01_69,,,R50D6
2024-07-01T04:44:07.010000,,,2024-07-01T04:44:07.010000,,True,,False,,AM,2024-07-01,,,,,0.697676956653595,Detection,,,,2024-07-01_70,,,R50D6
2024-07-01T04:54:09,,,2024-07-01T04:54:09,,True,,False,,AM,2024-07-01,,,,,0.3037498891353607,Detection,,,,2024-07-01_71,,,R50D6
2024-07-01T04:54:15.110000,,,2024-07-01T04:54:15.110000,,True,,False,,AM,2024-07-01,,,,,0.25373056530952454,Detection,,,,2024-07-01_72,,,R50D6
2024-07-01T05:00:05.040000,,,2024-07-01T05:00:05.040000,,True,,False,,AM,2024-07-01,,,,,0.43482890725135803,Detection,,,,2024-07-01_73,,,R50D6
2024-07-01T05:03:35.990000,,,2024-07-01T05:03:35.990000,,True,,False,,AM,2024-07-01,,,,,0.3596891164779663,Detection,,,,2024-07-01_74,,,R50D6
2024-07-01T05:07:23.130000,,,2024-07-01T05:07:23.130000,,True,,False,,AM,2024-07-01,,,,,0.3868880569934845,Detection,,,,2024-07-01_75,,,R50D6
