detected,plot_path,depth,mag,time,s_detected,unique_id,p_detected,catalogued,date,p_confidence,p_predicted,event_id,mag_type,code,network,s_confidence,s_predicted,long,s_error,lat,provider,epi_distance,p_error
True,,,,2024-07-02T01:46:05,,2024-07-02_30,2024-07-02T01:46:05,False,2024-07-02,0.2875535488128662,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:46:05.980000,,2024-07-02_31,2024-07-02T01:46:05.980000,False,2024-07-02,0.2491456419229507,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:48:20.470000,,2024-07-02_32,2024-07-02T01:48:20.470000,False,2024-07-02,0.7948740124702454,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:51:03.930000,,2024-07-02_33,2024-07-02T01:51:03.930000,False,2024-07-02,0.2647052109241485,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:53:41.280000,,2024-07-02_34,2024-07-02T01:53:41.280000,False,2024-07-02,0.7994997501373291,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:59:36.050000,,2024-07-02_35,2024-07-02T01:59:36.050000,False,2024-07-02,0.6756974458694458,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:59:36.970000,,2024-07-02_36,2024-07-02T01:59:36.970000,False,2024-07-02,0.4180437922477722,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:01:05,,2024-07-02_37,2024-07-02T02:01:05,False,2024-07-02,0.7229241132736206,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:07:06.010000,,2024-07-02_38,2024-07-02T02:07:06.010000,False,2024-07-02,0.610774040222168,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:10:54.010000,,2024-07-02_39,2024-07-02T02:10:54.010000,False,2024-07-02,0.3401120007038116,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:11:56,,2024-07-02_40,2024-07-02T02:11:56,False,2024-07-02,0.5492922067642212,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:16:06.950000,,2024-07-02_41,2024-07-02T02:16:06.950000,False,2024-07-02,0.6884869337081909,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:16:20.270000,,2024-07-02_42,2024-07-02T02:16:20.270000,False,2024-07-02,0.2143910676240921,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:17:41.990000,,2024-07-02_43,2024-07-02T02:17:41.990000,False,2024-07-02,0.8567650318145752,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:17:42.600000,,2024-07-02_44,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:33:06.970000,,2024-07-02_45,2024-07-02T02:33:06.970000,False,2024-07-02,0.315421998500824,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:43:18.890000,,2024-07-02_46,2024-07-02T02:43:18.890000,False,2024-07-02,0.2310352176427841,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:44:05.990000,,2024-07-02_47,2024-07-02T02:44:05.990000,False,2024-07-02,0.4485147893428802,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:47:07,,2024-07-02_48,2024-07-02T02:47:07,False,2024-07-02,0.8648365139961243,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:47:07.390000,,2024-07-02_49,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:48:53.060000,,2024-07-02_50,2024-07-02T02:48:53.060000,False,2024-07-02,0.5669885277748108,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:49:35,,2024-07-02_51,2024-07-02T02:49:35,False,2024-07-02,0.6717484593391418,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:53:18.460000,,2024-07-02_52,2024-07-02T02:53:18.460000,False,2024-07-02,0.5621050000190735,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:56:37.620000,,2024-07-02_53,2024-07-02T02:56:37.620000,False,2024-07-02,0.3569325804710388,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:57:08.010000,,2024-07-02_54,2024-07-02T02:57:08.010000,False,2024-07-02,0.6207219958305359,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:03:41.010000,,2024-07-02_55,2024-07-02T03:03:41.010000,False,2024-07-02,0.4427254498004913,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:04:38.030000,,2024-07-02_56,2024-07-02T03:04:38.030000,False,2024-07-02,0.7006887197494507,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:06:08.700000,,2024-07-02_57,2024-07-02T03:06:08.700000,False,2024-07-02,0.5760787129402161,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:16:36.610000,,2024-07-02_58,2024-07-02T03:16:36.610000,False,2024-07-02,0.7042570114135742,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:29:05.120000,,2024-07-02_59,2024-07-02T03:29:05.120000,False,2024-07-02,0.6966368556022644,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:30:23.140000,,2024-07-02_60,2024-07-02T03:30:23.140000,False,2024-07-02,0.6708332300186157,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:32:08.750000,,2024-07-02_61,2024-07-02T03:32:08.750000,False,2024-07-02,0.5693806409835815,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:41:07.960000,,2024-07-02_62,2024-07-02T03:41:07.960000,False,2024-07-02,0.2863121330738067,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:44:06.010000,,2024-07-02_63,2024-07-02T03:44:06.010000,False,2024-07-02,0.7970314621925354,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:44:06.950000,,2024-07-02_64,2024-07-02T03:44:06.950000,False,2024-07-02,0.2348194420337677,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T03:45:22.090000,,2024-07-02_65,2024-07-02T03:45:22.090000,False,2024-07-02,0.241254910826683,,,,R50D6,AM,,,,,,Detection,,
