time,lat,detected,epi_distance,code,plot_path,depth,long,date,p_detected,p_confidence,unique_id,s_detected,network,s_confidence,catalogued,p_error,s_predicted,mag,s_error,provider,mag_type,p_predicted,event_id
2024-06-02T22:19:51.140000,48.268,False,8315.872840977221,R50D6,,171.4,153.118,2024-06-02,,,2024-06-02_13,,AM,,True,,2024-06-02T22:41:14.174638,4.54,,GFZ,mb,2024-06-02T22:31:34.451380,smi:org.gfz-potsdam.de/geofon/gfz2024kvge
2024-06-02T21:40:20.330000,37.476,False,9034.431240765425,R50D6,,10.0,137.3,2024-06-02,,,2024-06-02_14,,AM,,True,,2024-06-02T22:02:52.591438,4.96,,GFZ,mb,2024-06-02T21:52:39.343756,smi:org.gfz-potsdam.de/geofon/gfz2024kvew
2024-06-02T21:31:39.810000,37.494,False,9032.37990219244,R50D6,,10.0,137.294,2024-06-02,,,2024-06-02_15,,AM,,True,,2024-06-02T21:54:11.881003,5.71,,GFZ,mw,2024-06-02T21:43:58.726249,smi:org.gfz-potsdam.de/geofon/gfz2024kvep
2024-06-02T14:02:42.400000,65.888,False,6039.93854083468,R50D6,,10.0,-135.068,2024-06-02,,,2024-06-02_16,,AM,,True,,2024-06-02T14:19:52.820246,4.73,,GFZ,mw,2024-06-02T14:12:11.839128,smi:org.gfz-potsdam.de/geofon/gfz2024kupt
2024-06-02T08:44:58.960000,22.905,False,8326.025348987245,R50D6,,99.3,94.598,2024-06-02,,,2024-06-02_17,,AM,,True,,2024-06-02T09:06:21.824157,4.81,,GFZ,mb,2024-06-02T08:56:42.184235,smi:org.gfz-potsdam.de/geofon/gfz2024kufh
2024-06-02T08:23:12.040000,37.655,False,5696.940333796313,R50D6,,126.8,72.274,2024-06-02,,,2024-06-02_18,,AM,,True,,2024-06-02T08:39:39.429825,4.52,,GFZ,mb,2024-06-02T08:32:18.178115,smi:org.gfz-potsdam.de/geofon/gfz2024kueo
2024-06-02T07:59:54.870000,36.605,False,4697.611270565342,R50D6,,10.0,55.296,2024-06-02,,,2024-06-02_19,,AM,,True,,2024-06-02T08:14:13.395317,4.65,,GFZ,mb,2024-06-02T08:07:50.409854,smi:org.gfz-potsdam.de/geofon/gfz2024kudu
2024-06-02T04:22:46.860000,80.053,False,4404.799243881152,R50D6,,10.0,-111.606,2024-06-02,,,2024-06-02_20,,AM,,True,,2024-06-02T04:36:26.896401,4.65,,GFZ,mb,2024-06-02T04:30:21.075568,smi:org.gfz-potsdam.de/geofon/gfz2024ktwq
2024-06-02T01:27:24.890000,23.747,False,9756.790060476429,R50D6,,10.0,121.693,2024-06-02,,,2024-06-02_21,,AM,,True,,2024-06-02T01:51:01.075616,4.68,,GFZ,mb,2024-06-02T01:40:16.381115,smi:org.gfz-potsdam.de/geofon/gfz2024ktqw
2024-06-02T00:00:52.950000,,True,,R50D6,,,,2024-06-02,2024-06-02T00:00:52.950000,0.608887255191803,2024-06-02_10,,AM,,False,,,,,Detection,,,
