long,detected,unique_id,epi_distance,event_id,s_detected,provider,network,s_confidence,s_predicted,p_detected,p_confidence,lat,date,plot_path,p_error,depth,time,p_predicted,mag,s_error,catalogued,code,mag_type
,True,2024-08-23_31,,,,Detection,AM,,,2024-08-23T01:11:38,0.839888334274292,,2024-08-23,,,,2024-08-23T01:11:38,,,,False,R50D6,
,True,2024-08-23_32,,,,Detection,AM,,,2024-08-23T01:12:18.570000,0.24433571100234985,,2024-08-23,,,,2024-08-23T01:12:18.570000,,,,False,R50D6,
,True,2024-08-23_33,,,,Detection,AM,,,2024-08-23T01:17:36.650000,0.2812671661376953,,2024-08-23,,,,2024-08-23T01:17:36.650000,,,,False,R50D6,
,True,2024-08-23_34,,,,Detection,AM,,,,,,2024-08-23,,,,2024-08-23T01:17:36.980000,,,,False,R50D6,
,True,2024-08-23_35,,,,Detection,AM,,,2024-08-23T01:18:36.950000,0.26108798384666443,,2024-08-23,,,,2024-08-23T01:18:36.950000,,,,False,R50D6,
,True,2024-08-23_36,,,,Detection,AM,,,2024-08-23T01:18:37.920000,0.13050420582294464,,2024-08-23,,,,2024-08-23T01:18:37.920000,,,,False,R50D6,
,True,2024-08-23_37,,,,Detection,AM,,,2024-08-23T01:25:52.110000,0.4152351915836334,,2024-08-23,,,,2024-08-23T01:25:52.110000,,,,False,R50D6,
,True,2024-08-23_38,,,,Detection,AM,,,2024-08-23T01:27:19.040000,0.5081694722175598,,2024-08-23,,,,2024-08-23T01:27:19.040000,,,,False,R50D6,
,True,2024-08-23_39,,,,Detection,AM,,,2024-08-23T01:31:36.990000,0.18285708129405975,,2024-08-23,,,,2024-08-23T01:31:36.990000,,,,False,R50D6,
,True,2024-08-23_40,,,,Detection,AM,,,2024-08-23T01:31:37.990000,0.2567867636680603,,2024-08-23,,,,2024-08-23T01:31:37.990000,,,,False,R50D6,
,True,2024-08-23_41,,,,Detection,AM,,,2024-08-23T01:32:05.990000,0.4788327217102051,,2024-08-23,,,,2024-08-23T01:32:05.990000,,,,False,R50D6,
,True,2024-08-23_42,,,,Detection,AM,,,2024-08-23T01:32:06.990000,0.16221769154071808,,2024-08-23,,,,2024-08-23T01:32:06.990000,,,,False,R50D6,
,True,2024-08-23_43,,,,Detection,AM,,,2024-08-23T01:39:20.010000,0.4986526370048523,,2024-08-23,,,,2024-08-23T01:39:20.010000,,,,False,R50D6,
,True,2024-08-23_44,,,,Detection,AM,,,2024-08-23T01:39:49.520000,0.11179780960083008,,2024-08-23,,,,2024-08-23T01:39:49.520000,,,,False,R50D6,
,True,2024-08-23_45,,,,Detection,AM,,,2024-08-23T01:42:53.170000,0.1445154845714569,,2024-08-23,,,,2024-08-23T01:42:53.170000,,,,False,R50D6,
,True,2024-08-23_46,,,,Detection,AM,,,2024-08-23T01:42:54.100000,0.39538925886154175,,2024-08-23,,,,2024-08-23T01:42:54.100000,,,,False,R50D6,
,True,2024-08-23_47,,,,Detection,AM,,,2024-08-23T01:43:24.110000,0.443050354719162,,2024-08-23,,,,2024-08-23T01:43:24.110000,,,,False,R50D6,
,True,2024-08-23_48,,,,Detection,AM,,,2024-08-23T01:50:06.870000,0.13199001550674438,,2024-08-23,,,,2024-08-23T01:50:06.870000,,,,False,R50D6,
,True,2024-08-23_49,,,,Detection,AM,,,2024-08-23T01:57:30.400000,0.7367016077041626,,2024-08-23,,,,2024-08-23T01:57:30.400000,,,,False,R50D6,
,True,2024-08-23_50,,,,Detection,AM,,,,,,2024-08-23,,,,2024-08-23T01:57:34.270000,,,,False,R50D6,
,True,2024-08-23_51,,,,Detection,AM,,,2024-08-23T01:58:11.900000,0.16038087010383606,,2024-08-23,,,,2024-08-23T01:58:11.900000,,,,False,R50D6,
,True,2024-08-23_52,,,,Detection,AM,,,2024-08-23T02:11:54.090000,0.32547807693481445,,2024-08-23,,,,2024-08-23T02:11:54.090000,,,,False,R50D6,
,True,2024-08-23_53,,,,Detection,AM,,,2024-08-23T02:16:35.020000,0.7881516814231873,,2024-08-23,,,,2024-08-23T02:16:35.020000,,,,False,R50D6,
,True,2024-08-23_54,,,,Detection,AM,,,2024-08-23T02:17:24.990000,0.15166322886943817,,2024-08-23,,,,2024-08-23T02:17:24.990000,,,,False,R50D6,
,True,2024-08-23_55,,,,Detection,AM,,,2024-08-23T02:19:35,0.12483194470405579,,2024-08-23,,,,2024-08-23T02:19:35,,,,False,R50D6,
,True,2024-08-23_56,,,,Detection,AM,,,2024-08-23T02:19:35.980000,0.357687771320343,,2024-08-23,,,,2024-08-23T02:19:35.980000,,,,False,R50D6,
,True,2024-08-23_57,,,,Detection,AM,,,2024-08-23T02:19:36.980000,0.1404261291027069,,2024-08-23,,,,2024-08-23T02:19:36.980000,,,,False,R50D6,
,True,2024-08-23_58,,,,Detection,AM,,,2024-08-23T02:24:05,0.12025877833366394,,2024-08-23,,,,2024-08-23T02:24:05,,,,False,R50D6,
,True,2024-08-23_59,,,,Detection,AM,,,2024-08-23T02:24:06,0.5255337357521057,,2024-08-23,,,,2024-08-23T02:24:06,,,,False,R50D6,
