unique_id,catalogued,s_predicted,plot_path,event_id,p_detected,network,code,epi_distance,provider,depth,lat,s_detected,detected,mag,p_error,date,time,s_error,mag_type,p_predicted,long,s_confidence,p_confidence
2024-07-01_106,True,2024-07-01T20:20:40.175780,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-07-01/report/2024-07-01_106_event_plot.png?raw=true,smi:org.gfz-potsdam.de/geofon/gfz2024mwbc,2024-07-01T20:10:53.100000,AM,R50D6,8590.62436826197,GFZ,54.0,45.088,,True,4.88,5.731082,2024-07-01,2024-07-01T19:58:50,,mb,2024-07-01T20:10:47.368918,149.915,,0.4517241716384887
2024-07-01_107,True,2024-07-01T17:28:57.678779,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-07-01/report/2024-07-01_107_event_plot.png?raw=true,smi:org.gfz-potsdam.de/geofon/gfz2024mvvo,2024-07-01T17:20:50.560000,AM,R50D6,6433.141529483783,GFZ,10.0,14.094,,True,4.78,-5.620316,2024-07-01,2024-07-01T17:11:02.830000,,mb,2024-07-01T17:20:56.180316,51.896,,0.5057298541069031
2024-07-01_108,True,2024-07-01T10:37:37.626383,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-07-01/report/2024-07-01_108_event_plot.png?raw=true,smi:org.gfz-potsdam.de/geofon/gfz2024mvib,2024-07-01T10:30:06.490000,AM,R50D6,5751.450207951973,GFZ,35.0,37.817,,True,4.67,-6.769371,2024-07-01,2024-07-01T10:21:03.420000,,mb,2024-07-01T10:30:13.259371,73.35,,0.4028548896312713
2024-07-01_04,False,,,,2024-07-01T00:00:07.960000,AM,R50D6,,Detection,,,,True,,,2024-07-01,2024-07-01T00:00:07.960000,,,,,,0.3338204622268677
2024-07-01_05,False,,,,2024-07-01T00:02:23,AM,R50D6,,Detection,,,,True,,,2024-07-01,2024-07-01T00:02:23,,,,,,0.2394110858440399
2024-07-01_06,False,,,,2024-07-01T00:02:24,AM,R50D6,,Detection,,,,True,,,2024-07-01,2024-07-01T00:02:24,,,,,,0.2900541126728058
2024-07-01_07,False,,,,2024-07-01T00:03:08.010000,AM,R50D6,,Detection,,,,True,,,2024-07-01,2024-07-01T00:03:08.010000,,,,,,0.8539195656776428
2024-07-01_08,False,,,,2024-07-01T00:04:37,AM,R50D6,,Detection,,,,True,,,2024-07-01,2024-07-01T00:04:37,,,,,,0.8368495106697083
2024-07-01_09,False,,,,2024-07-01T00:06:21.920000,AM,R50D6,,Detection,,,,True,,,2024-07-01,2024-07-01T00:06:21.920000,,,,,,0.6938788294792175
2024-07-01_10,False,,,,2024-07-01T00:06:22.900000,AM,R50D6,,Detection,,,,True,,,2024-07-01,2024-07-01T00:06:22.900000,,,,,,0.1121834740042686
