event_id,long,p_error,mag_type,date,p_detected,p_confidence,catalogued,lat,depth,s_confidence,detected,network,s_predicted,provider,mag,p_predicted,plot_path,code,epi_distance,time,s_error,s_detected,unique_id
,,,,2024-08-23,2024-08-23T00:19:54.070000,0.4228337109088897,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:19:54.070000,,,2024-08-23_11
,,,,2024-08-23,2024-08-23T00:23:19.190000,0.2961203157901764,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:23:19.190000,,,2024-08-23_12
,,,,2024-08-23,2024-08-23T00:26:52.990000,0.3993456959724426,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:26:52.990000,,,2024-08-23_13
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:26:53.970000,,,2024-08-23_14
,,,,2024-08-23,2024-08-23T00:37:06,0.5757492780685425,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:37:06,,,2024-08-23_15
,,,,2024-08-23,2024-08-23T00:48:12.970000,0.2311651557683944,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:48:12.970000,,,2024-08-23_16
,,,,2024-08-23,2024-08-23T00:57:06.650000,0.7644798159599304,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:57:06.650000,,,2024-08-23_17
,,,,2024-08-23,2024-08-23T00:58:23.080000,0.5192162394523621,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:58:23.080000,,,2024-08-23_18
,,,,2024-08-23,2024-08-23T01:06:58.410000,0.2427273839712143,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:06:58.410000,,,2024-08-23_19
,,,,2024-08-23,2024-08-23T01:08:08,0.5881459712982178,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:08:08,,,2024-08-23_20
,,,,2024-08-23,2024-08-23T01:11:38,0.839888334274292,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:11:38,,,2024-08-23_21
,,,,2024-08-23,2024-08-23T01:12:18.570000,0.2443357110023498,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:12:18.570000,,,2024-08-23_22
,,,,2024-08-23,2024-08-23T01:17:36.650000,0.2812671661376953,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:17:36.650000,,,2024-08-23_23
,,,,2024-08-23,,,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:17:36.980000,,,2024-08-23_24
,,,,2024-08-23,2024-08-23T01:18:36.950000,0.2610879838466644,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:18:36.950000,,,2024-08-23_25
,,,,2024-08-23,2024-08-23T01:25:52.110000,0.4152351915836334,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:25:52.110000,,,2024-08-23_26
,,,,2024-08-23,2024-08-23T01:27:19.040000,0.5081694722175598,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:27:19.040000,,,2024-08-23_27
,,,,2024-08-23,2024-08-23T01:31:37.990000,0.2567867636680603,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:31:37.990000,,,2024-08-23_28
,,,,2024-08-23,2024-08-23T01:32:05.990000,0.4788327217102051,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T01:32:05.990000,,,2024-08-23_29
