p_detected,s_error,mag,p_error,s_detected,event_id,network,p_predicted,date,detected,lat,provider,s_predicted,plot_path,unique_id,long,depth,epi_distance,s_confidence,catalogued,mag_type,p_confidence,time,code
2024-08-23T01:43:24.110000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_32,,,,,False,,0.443050354719162,2024-08-23T01:43:24.110000,R50D6
2024-08-23T01:57:30.400000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_33,,,,,False,,0.7367016077041626,2024-08-23T01:57:30.400000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_34,,,,,False,,,2024-08-23T01:57:34.270000,R50D6
2024-08-23T02:11:54.090000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_35,,,,,False,,0.3254780769348144,2024-08-23T02:11:54.090000,R50D6
2024-08-23T02:16:35.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_36,,,,,False,,0.7881516814231873,2024-08-23T02:16:35.020000,R50D6
2024-08-23T02:19:35.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_37,,,,,False,,0.357687771320343,2024-08-23T02:19:35.980000,R50D6
2024-08-23T02:24:06,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_38,,,,,False,,0.5255337357521057,2024-08-23T02:24:06,R50D6
2024-08-23T02:27:43.870000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_39,,,,,False,,0.2445470988750457,2024-08-23T02:27:43.870000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_40,,,,,False,,,2024-08-23T02:27:46.680000,R50D6
2024-08-23T02:37:52.760000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_41,,,,,False,,0.3639522492885589,2024-08-23T02:37:52.760000,R50D6
2024-08-23T02:42:44.970000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_42,,,,,False,,0.6905864477157593,2024-08-23T02:42:44.970000,R50D6
2024-08-23T02:43:10.140000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_43,,,,,False,,0.6037183403968811,2024-08-23T02:43:10.140000,R50D6
2024-08-23T02:43:44.590000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_44,,,,,False,,0.3332608342170715,2024-08-23T02:43:44.590000,R50D6
2024-08-23T02:46:19.510000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_45,,,,,False,,0.6843689680099487,2024-08-23T02:46:19.510000,R50D6
2024-08-23T02:48:51.010000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_46,,,,,False,,0.2468079477548599,2024-08-23T02:48:51.010000,R50D6
2024-08-23T02:49:22.920000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_47,,,,,False,,0.2497825771570205,2024-08-23T02:49:22.920000,R50D6
2024-08-23T02:55:38.150000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_48,,,,,False,,0.24483522772789,2024-08-23T02:55:38.150000,R50D6
2024-08-23T02:57:58.470000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_49,,,,,False,,0.4382400214672088,2024-08-23T02:57:58.470000,R50D6
2024-08-23T03:09:13.050000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_50,,,,,False,,0.3329286873340606,2024-08-23T03:09:13.050000,R50D6
2024-08-23T03:12:54,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_51,,,,,False,,0.2123234421014785,2024-08-23T03:12:54,R50D6
2024-08-23T03:28:06.130000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_52,,,,,False,,0.4411213994026184,2024-08-23T03:28:06.130000,R50D6
2024-08-23T03:28:06.880000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_53,,,,,False,,0.2099573463201522,2024-08-23T03:28:06.880000,R50D6
2024-08-23T03:29:35.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_54,,,,,False,,0.2440508306026458,2024-08-23T03:29:35.980000,R50D6
2024-08-23T03:30:38.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_55,,,,,False,,0.2011410742998123,2024-08-23T03:30:38.990000,R50D6
2024-08-23T03:40:23.150000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_56,,,,,False,,0.4785265028476715,2024-08-23T03:40:23.150000,R50D6
2024-08-23T03:47:08.010000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_57,,,,,False,,0.5964372158050537,2024-08-23T03:47:08.010000,R50D6
2024-08-23T03:58:10.030000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_58,,,,,False,,0.5290547609329224,2024-08-23T03:58:10.030000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_59,,,,,False,,,2024-08-23T03:58:10.800000,R50D6
2024-08-23T04:00:21.940000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_60,,,,,False,,0.3178092539310455,2024-08-23T04:00:21.940000,R50D6
2024-08-23T04:19:20.970000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_61,,,,,False,,0.251569539308548,2024-08-23T04:19:20.970000,R50D6
2024-08-23T04:19:52.030000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_62,,,,,False,,0.3936178088188171,2024-08-23T04:19:52.030000,R50D6
2024-08-23T04:20:07.960000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_63,,,,,False,,0.2099191099405288,2024-08-23T04:20:07.960000,R50D6
2024-08-23T04:23:07.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_64,,,,,False,,0.4944280087947845,2024-08-23T04:23:07.980000,R50D6
2024-08-23T04:23:08.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_65,,,,,False,,0.2195190042257309,2024-08-23T04:23:08.990000,R50D6
2024-08-23T04:24:52.060000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_66,,,,,False,,0.4952103495597839,2024-08-23T04:24:52.060000,R50D6
2024-08-23T04:25:21.080000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_67,,,,,False,,0.7087300419807434,2024-08-23T04:25:21.080000,R50D6
2024-08-23T04:28:21.960000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_68,,,,,False,,0.4522690176963806,2024-08-23T04:28:21.960000,R50D6
2024-08-23T04:35:39.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_69,,,,,False,,0.732419490814209,2024-08-23T04:35:39.020000,R50D6
2024-08-23T04:37:53.040000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_70,,,,,False,,0.5152786374092102,2024-08-23T04:37:53.040000,R50D6
2024-08-23T04:38:11.090000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_71,,,,,False,,0.4000152349472046,2024-08-23T04:38:11.090000,R50D6
2024-08-23T04:40:08.120000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_72,,,,,False,,0.7547982931137085,2024-08-23T04:40:08.120000,R50D6
2024-08-23T04:40:38,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_73,,,,,False,,0.3040375113487243,2024-08-23T04:40:38,R50D6
2024-08-23T04:40:43.460000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_74,,,,,False,,0.4148608744144439,2024-08-23T04:40:43.460000,R50D6
2024-08-23T04:46:06.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_75,,,,,False,,0.4495609700679779,2024-08-23T04:46:06.980000,R50D6
2024-08-23T04:46:35,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_76,,,,,False,,0.2538714408874511,2024-08-23T04:46:35,R50D6
2024-08-23T04:57:05.030000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_77,,,,,False,,0.5560817122459412,2024-08-23T04:57:05.030000,R50D6
2024-08-23T04:58:40.010000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_78,,,,,False,,0.8887987732887268,2024-08-23T04:58:40.010000,R50D6
2024-08-23T05:00:37.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_79,,,,,False,,0.6365383267402649,2024-08-23T05:00:37.020000,R50D6
2024-08-23T05:05:21.060000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_80,,,,,False,,0.5471760034561157,2024-08-23T05:05:21.060000,R50D6
2024-08-23T05:10:36.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_81,,,,,False,,0.5975321531295776,2024-08-23T05:10:36.990000,R50D6
2024-08-23T05:13:06.880000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_82,,,,,False,,0.4368100166320801,2024-08-23T05:13:06.880000,R50D6
2024-08-23T05:13:20.790000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_83,,,,,False,,0.6004816889762878,2024-08-23T05:13:20.790000,R50D6
2024-08-23T05:13:49.600000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_84,,,,,False,,0.4326925575733185,2024-08-23T05:13:49.600000,R50D6
2024-08-23T05:16:05.010000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_85,,,,,False,,0.7988004684448242,2024-08-23T05:16:05.010000,R50D6
2024-08-23T05:20:52.900000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_86,,,,,False,,0.2063779383897781,2024-08-23T05:20:52.900000,R50D6
2024-08-23T05:21:29.930000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_87,,,,,False,,0.6184221506118774,2024-08-23T05:21:29.930000,R50D6
2024-08-23T05:27:16.010000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_88,,,,,False,,0.2650030255317688,2024-08-23T05:27:16.010000,R50D6
2024-08-23T05:28:54.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_89,,,,,False,,0.6015134453773499,2024-08-23T05:28:54.990000,R50D6
2024-08-23T05:28:55.470000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_90,,,,,False,,0.4883177876472473,2024-08-23T05:28:55.470000,R50D6
2024-08-23T05:33:08.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_91,,,,,False,,0.4207245409488678,2024-08-23T05:33:08.980000,R50D6
2024-08-23T05:33:09.960000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_92,,,,,False,,0.4574576020240783,2024-08-23T05:33:09.960000,R50D6
2024-08-23T05:37:05.030000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_93,,,,,False,,0.3698779642581939,2024-08-23T05:37:05.030000,R50D6
2024-08-23T05:38:45.890000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_94,,,,,False,,0.2269347310066223,2024-08-23T05:38:45.890000,R50D6
2024-08-23T05:39:08.850000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_95,,,,,False,,0.259004145860672,2024-08-23T05:39:08.850000,R50D6
2024-08-23T05:39:54.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_96,,,,,False,,0.4672495126724243,2024-08-23T05:39:54.020000,R50D6
2024-08-23T05:40:52.510000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_97,,,,,False,,0.4262879192829132,2024-08-23T05:40:52.510000,R50D6
2024-08-23T05:42:21.890000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_98,,,,,False,,0.5336184501647949,2024-08-23T05:42:21.890000,R50D6
2024-08-23T05:44:38.010000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_99,,,,,False,,0.7905741333961487,2024-08-23T05:44:38.010000,R50D6
2024-08-23T05:45:19.730000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_100,,,,,False,,0.5410248041152954,2024-08-23T05:45:19.730000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_101,,,,,False,,,2024-08-23T05:45:20.530000,R50D6
2024-08-23T05:48:32.170000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_102,,,,,False,,0.4581848680973053,2024-08-23T05:48:32.170000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_103,,,,,False,,,2024-08-23T05:48:32.520000,R50D6
2024-08-23T05:48:54.160000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_104,,,,,False,,0.6738490462303162,2024-08-23T05:48:54.160000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_105,,,,,False,,,2024-08-23T05:48:54.420000,R50D6
2024-08-23T05:50:22.110000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_106,,,,,False,,0.416629821062088,2024-08-23T05:50:22.110000,R50D6
2024-08-23T05:52:26.240000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_107,,,,,False,,0.8249998092651367,2024-08-23T05:52:26.240000,R50D6
2024-08-23T05:52:56.970000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_108,,,,,False,,0.8334150910377502,2024-08-23T05:52:56.970000,R50D6
2024-08-23T05:54:10.830000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_109,,,,,False,,0.6210201382637024,2024-08-23T05:54:10.830000,R50D6
2024-08-23T05:55:30.690000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_110,,,,,False,,0.5458056926727295,2024-08-23T05:55:30.690000,R50D6
2024-08-23T05:55:53.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_111,,,,,False,,0.2110475450754165,2024-08-23T05:55:53.990000,R50D6
2024-08-23T05:58:03.880000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_112,,,,,False,,0.4615821838378906,2024-08-23T05:58:03.880000,R50D6
2024-08-23T05:59:11.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_113,,,,,False,,0.6869409680366516,2024-08-23T05:59:11.980000,R50D6
2024-08-23T06:02:13.150000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_114,,,,,False,,0.6239530444145203,2024-08-23T06:02:13.150000,R50D6
2024-08-23T06:05:01.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_115,,,,,False,,0.6823288798332214,2024-08-23T06:05:01.990000,R50D6
2024-08-23T06:07:35.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_116,,,,,False,,0.2138118594884872,2024-08-23T06:07:35.980000,R50D6
2024-08-23T06:07:36.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_117,,,,,False,,0.2109110653400421,2024-08-23T06:07:36.980000,R50D6
2024-08-23T06:08:06.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_118,,,,,False,,0.2865420579910278,2024-08-23T06:08:06.980000,R50D6
2024-08-23T06:08:07.970000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_119,,,,,False,,0.2365691363811493,2024-08-23T06:08:07.970000,R50D6
2024-08-23T06:11:36.010000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_120,,,,,False,,0.8951411247253418,2024-08-23T06:11:36.010000,R50D6
2024-08-23T06:17:38.560000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_121,,,,,False,,0.5429345965385437,2024-08-23T06:17:38.560000,R50D6
2024-08-23T06:18:01.070000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_122,,,,,False,,0.6125131845474243,2024-08-23T06:18:01.070000,R50D6
2024-08-23T06:18:38,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_123,,,,,False,,0.4187429845333099,2024-08-23T06:18:38,R50D6
2024-08-23T06:23:18.970000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_124,,,,,False,,0.3425979912281036,2024-08-23T06:23:18.970000,R50D6
2024-08-23T06:26:25.780000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_125,,,,,False,,0.7320002317428589,2024-08-23T06:26:25.780000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_126,,,,,False,,,2024-08-23T06:26:26.300000,R50D6
2024-08-23T06:27:06.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_127,,,,,False,,0.6920270919799805,2024-08-23T06:27:06.020000,R50D6
2024-08-23T06:28:23,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_128,,,,,False,,0.6206567287445068,2024-08-23T06:28:23,R50D6
2024-08-23T06:29:20.040000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_129,,,,,False,,0.8843703269958496,2024-08-23T06:29:20.040000,R50D6
2024-08-23T06:30:39,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_130,,,,,False,,0.8769389986991882,2024-08-23T06:30:39,R50D6
2024-08-23T06:31:25.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_131,,,,,False,,0.8881336450576782,2024-08-23T06:31:25.020000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_132,,,,,False,,,2024-08-23T06:31:25.600000,R50D6
2024-08-23T06:32:35,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_133,,,,,False,,0.4416654407978058,2024-08-23T06:32:35,R50D6
2024-08-23T06:32:35.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_134,,,,,False,,0.3731890320777893,2024-08-23T06:32:35.990000,R50D6
2024-08-23T06:34:19.040000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_135,,,,,False,,0.7282018661499023,2024-08-23T06:34:19.040000,R50D6
2024-08-23T06:37:20.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_136,,,,,False,,0.6152058839797974,2024-08-23T06:37:20.020000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_137,,,,,False,,,2024-08-23T06:37:20.310000,R50D6
2024-08-23T06:37:45.140000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_138,,,,,False,,0.420381635427475,2024-08-23T06:37:45.140000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_139,,,,,False,,,2024-08-23T06:37:46.670000,R50D6
2024-08-23T06:38:37.060000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_140,,,,,False,,0.5022830367088318,2024-08-23T06:38:37.060000,R50D6
2024-08-23T06:48:20,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_141,,,,,False,,0.2034134119749069,2024-08-23T06:48:20,R50D6
2024-08-23T06:48:21.030000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_142,,,,,False,,0.2043528258800506,2024-08-23T06:48:21.030000,R50D6
2024-08-23T06:49:07.980000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_143,,,,,False,,0.5129600167274475,2024-08-23T06:49:07.980000,R50D6
2024-08-23T06:50:01.380000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_144,,,,,False,,0.6594699621200562,2024-08-23T06:50:01.380000,R50D6
2024-08-23T06:52:09.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_145,,,,,False,,0.8109593987464905,2024-08-23T06:52:09.990000,R50D6
2024-08-23T06:53:42.210000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_146,,,,,False,,0.2726386189460754,2024-08-23T06:53:42.210000,R50D6
2024-08-23T06:56:38.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_147,,,,,False,,0.3918763697147369,2024-08-23T06:56:38.990000,R50D6
2024-08-23T06:57:06,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_148,,,,,False,,0.7985036373138428,2024-08-23T06:57:06,R50D6
2024-08-23T06:58:46.370000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_149,,,,,False,,0.4293268024921417,2024-08-23T06:58:46.370000,R50D6
2024-08-23T06:59:08.410000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_150,,,,,False,,0.2237826734781265,2024-08-23T06:59:08.410000,R50D6
2024-08-23T07:00:10.990000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_151,,,,,False,,0.7081609964370728,2024-08-23T07:00:10.990000,R50D6
2024-08-23T07:02:02.590000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_152,,,,,False,,0.5623379945755005,2024-08-23T07:02:02.590000,R50D6
,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_153,,,,,False,,,2024-08-23T07:02:03.020000,R50D6
2024-08-23T07:02:46.350000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_154,,,,,False,,0.2796937823295593,2024-08-23T07:02:46.350000,R50D6
2024-08-23T07:02:49.590000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_155,,,,,False,,0.5542346239089966,2024-08-23T07:02:49.590000,R50D6
2024-08-23T07:09:38.020000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_156,,,,,False,,0.3460795283317566,2024-08-23T07:09:38.020000,R50D6
2024-08-23T07:10:06,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_157,,,,,False,,0.7664240598678589,2024-08-23T07:10:06,R50D6
2024-08-23T07:11:40.960000,,,,,,AM,,2024-08-23,True,,Detection,,,2024-08-23_158,,,,,False,,0.5179840326309204,2024-08-23T07:11:40.960000,R50D6
