event_id,provider,long,epi_distance,s_predicted,p_error,time,mag_type,code,mag,date,s_detected,plot_path,detected,p_predicted,p_confidence,depth,p_detected,network,unique_id,s_confidence,s_error,catalogued,lat
,Detection,,,,,2024-07-01T04:35:58.360000,,R50D6,,2024-07-01,,,True,,0.5208491683006287,,2024-07-01T04:35:58.360000,AM,2024-07-01_34,,,False,
,Detection,,,,,2024-07-01T04:36:22.070000,,R50D6,,2024-07-01,,,True,,0.6867411732673645,,2024-07-01T04:36:22.070000,AM,2024-07-01_35,,,False,
,Detection,,,,,2024-07-01T04:44:07.010000,,R50D6,,2024-07-01,,,True,,0.697676956653595,,2024-07-01T04:44:07.010000,AM,2024-07-01_36,,,False,
,Detection,,,,,2024-07-01T05:16:26.270000,,R50D6,,2024-07-01,,,True,,0.65202397108078,,2024-07-01T05:16:26.270000,AM,2024-07-01_37,,,False,
,Detection,,,,,2024-07-01T05:27:40.960000,,R50D6,,2024-07-01,,,True,,0.7876696586608887,,2024-07-01T05:27:40.960000,AM,2024-07-01_38,,,False,
,Detection,,,,,2024-07-01T05:27:41.560000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_39,,,False,
,Detection,,,,,2024-07-01T05:35:22.120000,,R50D6,,2024-07-01,,,True,,0.5763738751411438,,2024-07-01T05:35:22.120000,AM,2024-07-01_40,,,False,
,Detection,,,,,2024-07-01T05:36:40.980000,,R50D6,,2024-07-01,,,True,,0.6039586067199707,,2024-07-01T05:36:40.980000,AM,2024-07-01_41,,,False,
,Detection,,,,,2024-07-01T05:38:05.010000,,R50D6,,2024-07-01,,,True,,0.5479295253753662,,2024-07-01T05:38:05.010000,AM,2024-07-01_42,,,False,
,Detection,,,,,2024-07-01T05:45:56.870000,,R50D6,,2024-07-01,,,True,,0.8665628433227539,,2024-07-01T05:45:56.870000,AM,2024-07-01_43,,,False,
,Detection,,,,,2024-07-01T05:45:57.470000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_44,,,False,
,Detection,,,,,2024-07-01T05:51:41.020000,,R50D6,,2024-07-01,,,True,,0.7970812320709229,,2024-07-01T05:51:41.020000,AM,2024-07-01_45,,,False,
,Detection,,,,,2024-07-01T05:52:21.040000,,R50D6,,2024-07-01,,,True,,0.6428237557411194,,2024-07-01T05:52:21.040000,AM,2024-07-01_46,,,False,
,Detection,,,,,2024-07-01T06:03:44.810000,,R50D6,,2024-07-01,,,True,,0.8011968731880188,,2024-07-01T06:03:44.810000,AM,2024-07-01_47,,,False,
,Detection,,,,,2024-07-01T06:04:55.660000,,R50D6,,2024-07-01,,,True,,0.85223788022995,,2024-07-01T06:04:55.660000,AM,2024-07-01_48,,,False,
,Detection,,,,,2024-07-01T06:04:56.150000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_49,,,False,
,Detection,,,,,2024-07-01T06:05:06.960000,,R50D6,,2024-07-01,,,True,,0.7626150846481323,,2024-07-01T06:05:06.960000,AM,2024-07-01_50,,,False,
,Detection,,,,,2024-07-01T06:12:19.050000,,R50D6,,2024-07-01,,,True,,0.7218387722969055,,2024-07-01T06:12:19.050000,AM,2024-07-01_51,,,False,
,Detection,,,,,2024-07-01T06:14:38,,R50D6,,2024-07-01,,,True,,0.8745260834693909,,2024-07-01T06:14:38,AM,2024-07-01_52,,,False,
,Detection,,,,,2024-07-01T06:15:50.980000,,R50D6,,2024-07-01,,,True,,0.5671077370643616,,2024-07-01T06:15:50.980000,AM,2024-07-01_53,,,False,
,Detection,,,,,2024-07-01T06:19:23.970000,,R50D6,,2024-07-01,,,True,,0.8857235312461853,,2024-07-01T06:19:23.970000,AM,2024-07-01_54,,,False,
,Detection,,,,,2024-07-01T06:21:24.960000,,R50D6,,2024-07-01,,,True,,0.5307790040969849,,2024-07-01T06:21:24.960000,AM,2024-07-01_55,,,False,
,Detection,,,,,2024-07-01T06:42:08.010000,,R50D6,,2024-07-01,,,True,,0.6692759394645691,,2024-07-01T06:42:08.010000,AM,2024-07-01_56,,,False,
,Detection,,,,,2024-07-01T06:47:36.010000,,R50D6,,2024-07-01,,,True,,0.61043781042099,,2024-07-01T06:47:36.010000,AM,2024-07-01_57,,,False,
,Detection,,,,,2024-07-01T06:53:16.340000,,R50D6,,2024-07-01,,,True,,0.6549109816551208,,2024-07-01T06:53:16.340000,AM,2024-07-01_58,,,False,
,Detection,,,,,2024-07-01T06:54:39.010000,,R50D6,,2024-07-01,,,True,,0.6642279028892517,,2024-07-01T06:54:39.010000,AM,2024-07-01_59,,,False,
,Detection,,,,,2024-07-01T06:55:20.930000,,R50D6,,2024-07-01,,,True,,0.5574246644973755,,2024-07-01T06:55:20.930000,AM,2024-07-01_60,,,False,
,Detection,,,,,2024-07-01T06:56:37,,R50D6,,2024-07-01,,,True,,0.7165320515632629,,2024-07-01T06:56:37,AM,2024-07-01_61,,,False,
,Detection,,,,,2024-07-01T06:57:28.060000,,R50D6,,2024-07-01,,,True,,0.6413331031799316,,2024-07-01T06:57:28.060000,AM,2024-07-01_62,,,False,
,Detection,,,,,2024-07-01T07:03:39,,R50D6,,2024-07-01,,,True,,0.9230120778083801,,2024-07-01T07:03:39,AM,2024-07-01_63,,,False,
,Detection,,,,,2024-07-01T07:04:08.980000,,R50D6,,2024-07-01,,,True,,0.5720937252044678,,2024-07-01T07:04:08.980000,AM,2024-07-01_64,,,False,
,Detection,,,,,2024-07-01T07:07:23.970000,,R50D6,,2024-07-01,,,True,,0.7586461305618286,,2024-07-01T07:07:23.970000,AM,2024-07-01_65,,,False,
,Detection,,,,,2024-07-01T07:11:06,,R50D6,,2024-07-01,,,True,,0.520377516746521,,2024-07-01T07:11:06,AM,2024-07-01_66,,,False,
,Detection,,,,,2024-07-01T07:17:51.950000,,R50D6,,2024-07-01,,,True,,0.7389729022979736,,2024-07-01T07:17:51.950000,AM,2024-07-01_67,,,False,
,Detection,,,,,2024-07-01T07:21:20.910000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_68,,,False,
,Detection,,,,,2024-07-01T07:25:08.410000,,R50D6,,2024-07-01,,,True,,0.5579239726066589,,2024-07-01T07:25:08.410000,AM,2024-07-01_69,,,False,
,Detection,,,,,2024-07-01T07:34:36,,R50D6,,2024-07-01,,,True,,0.6083452105522156,,2024-07-01T07:34:36,AM,2024-07-01_70,,,False,
,Detection,,,,,2024-07-01T07:39:33.190000,,R50D6,,2024-07-01,,,True,,0.6240103244781494,,2024-07-01T07:39:33.190000,AM,2024-07-01_71,,,False,
,Detection,,,,,2024-07-01T07:43:06.010000,,R50D6,,2024-07-01,,,True,,0.8826185464859009,,2024-07-01T07:43:06.010000,AM,2024-07-01_72,,,False,
,Detection,,,,,2024-07-01T07:44:52.030000,,R50D6,,2024-07-01,,,True,,0.8409198522567749,,2024-07-01T07:44:52.030000,AM,2024-07-01_73,,,False,
,Detection,,,,,2024-07-01T07:45:24.530000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_74,,,False,
,Detection,,,,,2024-07-01T07:47:15.970000,,R50D6,,2024-07-01,,,True,,0.7427014112472534,,2024-07-01T07:47:15.970000,AM,2024-07-01_75,,,False,
,Detection,,,,,2024-07-01T07:47:45.450000,,R50D6,,2024-07-01,,,True,,0.5956009030342102,,2024-07-01T07:47:45.450000,AM,2024-07-01_76,,,False,
,Detection,,,,,2024-07-01T07:51:54.070000,,R50D6,,2024-07-01,,,True,,0.6945062875747681,,2024-07-01T07:51:54.070000,AM,2024-07-01_77,,,False,
,Detection,,,,,2024-07-01T07:53:35.970000,,R50D6,,2024-07-01,,,True,,0.8237228989601135,,2024-07-01T07:53:35.970000,AM,2024-07-01_78,,,False,
,Detection,,,,,2024-07-01T08:02:37.610000,,R50D6,,2024-07-01,,,True,,0.799430787563324,,2024-07-01T08:02:37.610000,AM,2024-07-01_79,,,False,
,Detection,,,,,2024-07-01T08:05:11.730000,,R50D6,,2024-07-01,,,True,,0.6549689173698425,,2024-07-01T08:05:11.730000,AM,2024-07-01_80,,,False,
,Detection,,,,,2024-07-01T08:10:49.030000,,R50D6,,2024-07-01,,,True,,0.7164981365203857,,2024-07-01T08:10:49.030000,AM,2024-07-01_81,,,False,
,Detection,,,,,2024-07-01T08:11:22.150000,,R50D6,,2024-07-01,,,True,,0.6023926734924316,,2024-07-01T08:11:22.150000,AM,2024-07-01_82,,,False,
,Detection,,,,,2024-07-01T08:13:21.050000,,R50D6,,2024-07-01,,,True,,0.567366361618042,,2024-07-01T08:13:21.050000,AM,2024-07-01_83,,,False,
,Detection,,,,,2024-07-01T08:15:07.450000,,R50D6,,2024-07-01,,,True,,0.5692540407180786,,2024-07-01T08:15:07.450000,AM,2024-07-01_84,,,False,
,Detection,,,,,2024-07-01T08:17:12.080000,,R50D6,,2024-07-01,,,True,,0.7770686149597168,,2024-07-01T08:17:12.080000,AM,2024-07-01_85,,,False,
,Detection,,,,,2024-07-01T08:22:15.110000,,R50D6,,2024-07-01,,,True,,0.6406145691871643,,2024-07-01T08:22:15.110000,AM,2024-07-01_86,,,False,
,Detection,,,,,2024-07-01T08:26:24.030000,,R50D6,,2024-07-01,,,True,,0.7284160256385803,,2024-07-01T08:26:24.030000,AM,2024-07-01_87,,,False,
,Detection,,,,,2024-07-01T08:28:52.310000,,R50D6,,2024-07-01,,,True,,0.8598632216453552,,2024-07-01T08:28:52.310000,AM,2024-07-01_88,,,False,
,Detection,,,,,2024-07-01T08:32:15.020000,,R50D6,,2024-07-01,,,True,,0.8470533490180969,,2024-07-01T08:32:15.020000,AM,2024-07-01_89,,,False,
,Detection,,,,,2024-07-01T08:32:15.550000,,R50D6,,2024-07-01,,,True,,,,,AM,2024-07-01_90,,,False,
,Detection,,,,,2024-07-01T08:34:12.050000,,R50D6,,2024-07-01,,,True,,0.634955883026123,,2024-07-01T08:34:12.050000,AM,2024-07-01_91,,,False,
,Detection,,,,,2024-07-01T08:45:53.070000,,R50D6,,2024-07-01,,,True,,0.768928587436676,,2024-07-01T08:45:53.070000,AM,2024-07-01_92,,,False,
,Detection,,,,,2024-07-01T08:46:35,,R50D6,,2024-07-01,,,True,,0.5285946726799011,,2024-07-01T08:46:35,AM,2024-07-01_93,,,False,
,Detection,,,,,2024-07-01T08:47:28.980000,,R50D6,,2024-07-01,,,True,,0.7755366563796997,,2024-07-01T08:47:28.980000,AM,2024-07-01_94,,,False,
,Detection,,,,,2024-07-01T08:49:14.070000,,R50D6,,2024-07-01,,,True,,0.6022318601608276,,2024-07-01T08:49:14.070000,AM,2024-07-01_95,,,False,
,Detection,,,,,2024-07-01T08:51:26.930000,,R50D6,,2024-07-01,,,True,,0.8718060255050659,,2024-07-01T08:51:26.930000,AM,2024-07-01_96,,,False,
,Detection,,,,,2024-07-01T08:51:36.700000,,R50D6,,2024-07-01,,,True,,0.7379733324050903,,2024-07-01T08:51:36.700000,AM,2024-07-01_97,,,False,
,Detection,,,,,2024-07-01T08:55:36.020000,,R50D6,,2024-07-01,,,True,,0.6435605883598328,,2024-07-01T08:55:36.020000,AM,2024-07-01_98,,,False,
,Detection,,,,,2024-07-01T08:56:39.990000,,R50D6,,2024-07-01,,,True,,0.8938261270523071,,2024-07-01T08:56:39.990000,AM,2024-07-01_99,,,False,
