s_error,s_detected,mag_type,date,p_predicted,long,provider,s_confidence,epi_distance,p_confidence,catalogued,s_predicted,p_detected,unique_id,lat,network,detected,code,time,depth,event_id,plot_path,mag,p_error
,,,2024-07-01,,,Detection,,,0.653323769569397,False,,2024-07-01T01:37:51.050000,2024-07-01_31,,AM,True,R50D6,2024-07-01T01:37:51.050000,,,,,
,,,2024-07-01,,,Detection,,,0.2256316095590591,False,,2024-07-01T01:37:52.010000,2024-07-01_32,,AM,True,R50D6,2024-07-01T01:37:52.010000,,,,,
,,,2024-07-01,,,Detection,,,0.2714485824108124,False,,2024-07-01T01:39:42.870000,2024-07-01_33,,AM,True,R50D6,2024-07-01T01:39:42.870000,,,,,
,,,2024-07-01,,,Detection,,,0.3895138204097748,False,,2024-07-01T01:42:25.320000,2024-07-01_34,,AM,True,R50D6,2024-07-01T01:42:25.320000,,,,,
,,,2024-07-01,,,Detection,,,0.2351109683513641,False,,2024-07-01T01:47:54.290000,2024-07-01_35,,AM,True,R50D6,2024-07-01T01:47:54.290000,,,,,
,,,2024-07-01,,,Detection,,,0.4166315495967865,False,,2024-07-01T01:49:07.020000,2024-07-01_36,,AM,True,R50D6,2024-07-01T01:49:07.020000,,,,,
,,,2024-07-01,,,Detection,,,0.2327240705490112,False,,2024-07-01T01:49:08.010000,2024-07-01_37,,AM,True,R50D6,2024-07-01T01:49:08.010000,,,,,
,,,2024-07-01,,,Detection,,,0.453451007604599,False,,2024-07-01T01:50:48.240000,2024-07-01_38,,AM,True,R50D6,2024-07-01T01:50:48.240000,,,,,
,,,2024-07-01,,,Detection,,,0.4873546659946441,False,,2024-07-01T01:55:39.410000,2024-07-01_39,,AM,True,R50D6,2024-07-01T01:55:39.410000,,,,,
,,,2024-07-01,,,Detection,,,0.8624732494354248,False,,2024-07-01T01:57:07.010000,2024-07-01_40,,AM,True,R50D6,2024-07-01T01:57:07.010000,,,,,
,,,2024-07-01,,,Detection,,,0.7057668566703796,False,,2024-07-01T02:15:53.120000,2024-07-01_41,,AM,True,R50D6,2024-07-01T02:15:53.120000,,,,,
,,,2024-07-01,,,Detection,,,0.2953314185142517,False,,2024-07-01T02:16:22.030000,2024-07-01_42,,AM,True,R50D6,2024-07-01T02:16:22.030000,,,,,
,,,2024-07-01,,,Detection,,,0.5588731169700623,False,,2024-07-01T02:19:01.120000,2024-07-01_43,,AM,True,R50D6,2024-07-01T02:19:01.120000,,,,,
,,,2024-07-01,,,Detection,,,0.6314880847930908,False,,2024-07-01T02:20:23.900000,2024-07-01_44,,AM,True,R50D6,2024-07-01T02:20:23.900000,,,,,
,,,2024-07-01,,,Detection,,,0.5664408802986145,False,,2024-07-01T02:20:53.020000,2024-07-01_45,,AM,True,R50D6,2024-07-01T02:20:53.020000,,,,,
,,,2024-07-01,,,Detection,,,0.2078416496515274,False,,2024-07-01T02:20:54,2024-07-01_46,,AM,True,R50D6,2024-07-01T02:20:54,,,,,
,,,2024-07-01,,,Detection,,,0.632335364818573,False,,2024-07-01T02:26:38,2024-07-01_47,,AM,True,R50D6,2024-07-01T02:26:38,,,,,
,,,2024-07-01,,,Detection,,,0.3194242417812347,False,,2024-07-01T02:35:23.470000,2024-07-01_48,,AM,True,R50D6,2024-07-01T02:35:23.470000,,,,,
,,,2024-07-01,,,Detection,,,,False,,,2024-07-01_49,,AM,True,R50D6,2024-07-01T02:35:24.050000,,,,,
,,,2024-07-01,,,Detection,,,0.516664981842041,False,,2024-07-01T02:46:57.200000,2024-07-01_50,,AM,True,R50D6,2024-07-01T02:46:57.200000,,,,,
,,,2024-07-01,,,Detection,,,0.7289851903915405,False,,2024-07-01T02:53:54.090000,2024-07-01_51,,AM,True,R50D6,2024-07-01T02:53:54.090000,,,,,
,,,2024-07-01,,,Detection,,,0.2479211986064911,False,,2024-07-01T02:59:37.960000,2024-07-01_52,,AM,True,R50D6,2024-07-01T02:59:37.960000,,,,,
,,,2024-07-01,,,Detection,,,0.6671957969665527,False,,2024-07-01T03:02:12.940000,2024-07-01_53,,AM,True,R50D6,2024-07-01T03:02:12.940000,,,,,
,,,2024-07-01,,,Detection,,,0.2419448643922805,False,,2024-07-01T03:07:40.530000,2024-07-01_54,,AM,True,R50D6,2024-07-01T03:07:40.530000,,,,,
,,,2024-07-01,,,Detection,,,0.2615258395671844,False,,2024-07-01T03:09:33.820000,2024-07-01_55,,AM,True,R50D6,2024-07-01T03:09:33.820000,,,,,
,,,2024-07-01,,,Detection,,,0.2293398529291153,False,,2024-07-01T03:18:37.020000,2024-07-01_56,,AM,True,R50D6,2024-07-01T03:18:37.020000,,,,,
,,,2024-07-01,,,Detection,,,0.676794707775116,False,,2024-07-01T03:18:37.990000,2024-07-01_57,,AM,True,R50D6,2024-07-01T03:18:37.990000,,,,,
,,,2024-07-01,,,Detection,,,0.2358987629413604,False,,2024-07-01T03:29:12.740000,2024-07-01_58,,AM,True,R50D6,2024-07-01T03:29:12.740000,,,,,
,,,2024-07-01,,,Detection,,,0.7026844024658203,False,,2024-07-01T03:47:38.980000,2024-07-01_59,,AM,True,R50D6,2024-07-01T03:47:38.980000,,,,,
,,,2024-07-01,,,Detection,,,0.8247423768043518,False,,2024-07-01T03:55:39.010000,2024-07-01_60,,AM,True,R50D6,2024-07-01T03:55:39.010000,,,,,
,,,2024-07-01,,,Detection,,,0.2529563307762146,False,,2024-07-01T04:01:16.590000,2024-07-01_61,,AM,True,R50D6,2024-07-01T04:01:16.590000,,,,,
,,,2024-07-01,,,Detection,,,0.8458876013755798,False,,2024-07-01T04:17:21.880000,2024-07-01_62,,AM,True,R50D6,2024-07-01T04:17:21.880000,,,,,
,,,2024-07-01,,,Detection,,,,False,,,2024-07-01_63,,AM,True,R50D6,2024-07-01T04:17:22.250000,,,,,
,,,2024-07-01,,,Detection,,,0.5583996772766113,False,,2024-07-01T04:22:36.990000,2024-07-01_64,,AM,True,R50D6,2024-07-01T04:22:36.990000,,,,,
,,,2024-07-01,,,Detection,,,0.3673881292343139,False,,2024-07-01T04:26:24.010000,2024-07-01_65,,AM,True,R50D6,2024-07-01T04:26:24.010000,,,,,
,,,2024-07-01,,,Detection,,,0.7363027334213257,False,,2024-07-01T04:33:53,2024-07-01_66,,AM,True,R50D6,2024-07-01T04:33:53,,,,,
,,,2024-07-01,,,Detection,,,0.5208491683006287,False,,2024-07-01T04:35:58.360000,2024-07-01_67,,AM,True,R50D6,2024-07-01T04:35:58.360000,,,,,
,,,2024-07-01,,,Detection,,,0.6867411732673645,False,,2024-07-01T04:36:22.070000,2024-07-01_68,,AM,True,R50D6,2024-07-01T04:36:22.070000,,,,,
,,,2024-07-01,,,Detection,,,0.2087379544973373,False,,2024-07-01T04:39:36.970000,2024-07-01_69,,AM,True,R50D6,2024-07-01T04:39:36.970000,,,,,
,,,2024-07-01,,,Detection,,,0.697676956653595,False,,2024-07-01T04:44:07.010000,2024-07-01_70,,AM,True,R50D6,2024-07-01T04:44:07.010000,,,,,
,,,2024-07-01,,,Detection,,,0.3037498891353607,False,,2024-07-01T04:54:09,2024-07-01_71,,AM,True,R50D6,2024-07-01T04:54:09,,,,,
,,,2024-07-01,,,Detection,,,0.2537305653095245,False,,2024-07-01T04:54:15.110000,2024-07-01_72,,AM,True,R50D6,2024-07-01T04:54:15.110000,,,,,
,,,2024-07-01,,,Detection,,,0.434828907251358,False,,2024-07-01T05:00:05.040000,2024-07-01_73,,AM,True,R50D6,2024-07-01T05:00:05.040000,,,,,
,,,2024-07-01,,,Detection,,,0.3596891164779663,False,,2024-07-01T05:03:35.990000,2024-07-01_74,,AM,True,R50D6,2024-07-01T05:03:35.990000,,,,,
,,,2024-07-01,,,Detection,,,0.3868880569934845,False,,2024-07-01T05:07:23.130000,2024-07-01_75,,AM,True,R50D6,2024-07-01T05:07:23.130000,,,,,
,,,2024-07-01,,,Detection,,,0.4663176238536834,False,,2024-07-01T05:10:37.970000,2024-07-01_76,,AM,True,R50D6,2024-07-01T05:10:37.970000,,,,,
,,,2024-07-01,,,Detection,,,0.3280434310436249,False,,2024-07-01T05:10:47.150000,2024-07-01_77,,AM,True,R50D6,2024-07-01T05:10:47.150000,,,,,
,,,2024-07-01,,,Detection,,,0.2372901439666748,False,,2024-07-01T05:11:51.130000,2024-07-01_78,,AM,True,R50D6,2024-07-01T05:11:51.130000,,,,,
,,,2024-07-01,,,Detection,,,0.426778495311737,False,,2024-07-01T05:11:52.110000,2024-07-01_79,,AM,True,R50D6,2024-07-01T05:11:52.110000,,,,,
,,,2024-07-01,,,Detection,,,0.65202397108078,False,,2024-07-01T05:16:26.270000,2024-07-01_80,,AM,True,R50D6,2024-07-01T05:16:26.270000,,,,,
,,,2024-07-01,,,Detection,,,0.7876696586608887,False,,2024-07-01T05:27:40.960000,2024-07-01_81,,AM,True,R50D6,2024-07-01T05:27:40.960000,,,,,
,,,2024-07-01,,,Detection,,,,False,,,2024-07-01_82,,AM,True,R50D6,2024-07-01T05:27:41.560000,,,,,
,,,2024-07-01,,,Detection,,,0.2577889561653137,False,,2024-07-01T05:28:20.960000,2024-07-01_83,,AM,True,R50D6,2024-07-01T05:28:20.960000,,,,,
,,,2024-07-01,,,Detection,,,0.3102029263973236,False,,2024-07-01T05:30:06,2024-07-01_84,,AM,True,R50D6,2024-07-01T05:30:06,,,,,
,,,2024-07-01,,,Detection,,,0.2121268212795257,False,,2024-07-01T05:32:20.030000,2024-07-01_85,,AM,True,R50D6,2024-07-01T05:32:20.030000,,,,,
,,,2024-07-01,,,Detection,,,0.4352668821811676,False,,2024-07-01T05:33:36.990000,2024-07-01_86,,AM,True,R50D6,2024-07-01T05:33:36.990000,,,,,
,,,2024-07-01,,,Detection,,,0.4072276353836059,False,,2024-07-01T05:33:37.990000,2024-07-01_87,,AM,True,R50D6,2024-07-01T05:33:37.990000,,,,,
,,,2024-07-01,,,Detection,,,0.5763738751411438,False,,2024-07-01T05:35:22.120000,2024-07-01_88,,AM,True,R50D6,2024-07-01T05:35:22.120000,,,,,
,,,2024-07-01,,,Detection,,,0.6039586067199707,False,,2024-07-01T05:36:40.980000,2024-07-01_89,,AM,True,R50D6,2024-07-01T05:36:40.980000,,,,,
,,,2024-07-01,,,Detection,,,0.2519878447055816,False,,2024-07-01T05:36:42,2024-07-01_90,,AM,True,R50D6,2024-07-01T05:36:42,,,,,
,,,2024-07-01,,,Detection,,,0.4805138409137726,False,,2024-07-01T05:37:00.620000,2024-07-01_91,,AM,True,R50D6,2024-07-01T05:37:00.620000,,,,,
,,,2024-07-01,,,Detection,,,0.5479295253753662,False,,2024-07-01T05:38:05.010000,2024-07-01_92,,AM,True,R50D6,2024-07-01T05:38:05.010000,,,,,
,,,2024-07-01,,,Detection,,,0.2859249413013458,False,,2024-07-01T05:38:06,2024-07-01_93,,AM,True,R50D6,2024-07-01T05:38:06,,,,,
,,,2024-07-01,,,Detection,,,0.8665628433227539,False,,2024-07-01T05:45:56.870000,2024-07-01_94,,AM,True,R50D6,2024-07-01T05:45:56.870000,,,,,
,,,2024-07-01,,,Detection,,,,False,,,2024-07-01_95,,AM,True,R50D6,2024-07-01T05:45:57.470000,,,,,
,,,2024-07-01,,,Detection,,,0.7970812320709229,False,,2024-07-01T05:51:41.020000,2024-07-01_96,,AM,True,R50D6,2024-07-01T05:51:41.020000,,,,,
,,,2024-07-01,,,Detection,,,0.6428237557411194,False,,2024-07-01T05:52:21.040000,2024-07-01_97,,AM,True,R50D6,2024-07-01T05:52:21.040000,,,,,
,,,2024-07-01,,,Detection,,,0.2295851558446884,False,,2024-07-01T05:53:57.170000,2024-07-01_98,,AM,True,R50D6,2024-07-01T05:53:57.170000,,,,,
,,,2024-07-01,,,Detection,,,0.8011968731880188,False,,2024-07-01T06:03:44.810000,2024-07-01_99,,AM,True,R50D6,2024-07-01T06:03:44.810000,,,,,
