s_predicted,mag,network,code,p_detected,s_confidence,epi_distance,catalogued,provider,depth,unique_id,long,time,detected,p_error,mag_type,p_confidence,s_detected,event_id,p_predicted,date,plot_path,s_error,lat
,,AM,R50D6,2024-08-23T01:11:38,,,False,Detection,,2024-08-23_31,,2024-08-23T01:11:38,True,,,0.839888334274292,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:12:18.570000,,,False,Detection,,2024-08-23_32,,2024-08-23T01:12:18.570000,True,,,0.2443357110023498,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:17:36.650000,,,False,Detection,,2024-08-23_33,,2024-08-23T01:17:36.650000,True,,,0.2812671661376953,,,,2024-08-23,,,
,,AM,R50D6,,,,False,Detection,,2024-08-23_34,,2024-08-23T01:17:36.980000,True,,,,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:18:36.950000,,,False,Detection,,2024-08-23_35,,2024-08-23T01:18:36.950000,True,,,0.2610879838466644,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:18:37.920000,,,False,Detection,,2024-08-23_36,,2024-08-23T01:18:37.920000,True,,,0.1305042058229446,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:25:52.110000,,,False,Detection,,2024-08-23_37,,2024-08-23T01:25:52.110000,True,,,0.4152351915836334,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:27:19.040000,,,False,Detection,,2024-08-23_38,,2024-08-23T01:27:19.040000,True,,,0.5081694722175598,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:31:36.990000,,,False,Detection,,2024-08-23_39,,2024-08-23T01:31:36.990000,True,,,0.1828570812940597,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:31:37.990000,,,False,Detection,,2024-08-23_40,,2024-08-23T01:31:37.990000,True,,,0.2567867636680603,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:32:05.990000,,,False,Detection,,2024-08-23_41,,2024-08-23T01:32:05.990000,True,,,0.4788327217102051,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:32:06.990000,,,False,Detection,,2024-08-23_42,,2024-08-23T01:32:06.990000,True,,,0.162217691540718,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:39:20.010000,,,False,Detection,,2024-08-23_43,,2024-08-23T01:39:20.010000,True,,,0.4986526370048523,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:39:49.520000,,,False,Detection,,2024-08-23_44,,2024-08-23T01:39:49.520000,True,,,0.11179780960083,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:42:53.170000,,,False,Detection,,2024-08-23_45,,2024-08-23T01:42:53.170000,True,,,0.1445154845714569,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:42:54.100000,,,False,Detection,,2024-08-23_46,,2024-08-23T01:42:54.100000,True,,,0.3953892588615417,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:43:24.110000,,,False,Detection,,2024-08-23_47,,2024-08-23T01:43:24.110000,True,,,0.443050354719162,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:50:06.870000,,,False,Detection,,2024-08-23_48,,2024-08-23T01:50:06.870000,True,,,0.1319900155067443,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:57:30.400000,,,False,Detection,,2024-08-23_49,,2024-08-23T01:57:30.400000,True,,,0.7367016077041626,,,,2024-08-23,,,
,,AM,R50D6,,,,False,Detection,,2024-08-23_50,,2024-08-23T01:57:34.270000,True,,,,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T01:58:11.900000,,,False,Detection,,2024-08-23_51,,2024-08-23T01:58:11.900000,True,,,0.160380870103836,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:11:54.090000,,,False,Detection,,2024-08-23_52,,2024-08-23T02:11:54.090000,True,,,0.3254780769348144,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:16:35.020000,,,False,Detection,,2024-08-23_53,,2024-08-23T02:16:35.020000,True,,,0.7881516814231873,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:17:24.990000,,,False,Detection,,2024-08-23_54,,2024-08-23T02:17:24.990000,True,,,0.1516632288694381,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:19:35,,,False,Detection,,2024-08-23_55,,2024-08-23T02:19:35,True,,,0.1248319447040557,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:19:35.980000,,,False,Detection,,2024-08-23_56,,2024-08-23T02:19:35.980000,True,,,0.357687771320343,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:19:36.980000,,,False,Detection,,2024-08-23_57,,2024-08-23T02:19:36.980000,True,,,0.1404261291027069,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:24:05,,,False,Detection,,2024-08-23_58,,2024-08-23T02:24:05,True,,,0.1202587783336639,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T02:24:06,,,False,Detection,,2024-08-23_59,,2024-08-23T02:24:06,True,,,0.5255337357521057,,,,2024-08-23,,,
