detected,mag,network,date,p_error,long,s_detected,mag_type,depth,s_confidence,time,provider,event_id,p_predicted,code,s_error,epi_distance,p_confidence,s_predicted,catalogued,lat,unique_id,p_detected,plot_path
True,,AM,2024-08-23,,,,,,,2024-08-23T01:43:24.110000,Detection,,,R50D6,,,0.443050354719162,,False,,2024-08-23_32,2024-08-23T01:43:24.110000,
True,,AM,2024-08-23,,,,,,,2024-08-23T01:57:30.400000,Detection,,,R50D6,,,0.7367016077041626,,False,,2024-08-23_33,2024-08-23T01:57:30.400000,
True,,AM,2024-08-23,,,,,,,2024-08-23T01:57:34.270000,Detection,,,R50D6,,,,,False,,2024-08-23_34,,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:11:54.090000,Detection,,,R50D6,,,0.3254780769348144,,False,,2024-08-23_35,2024-08-23T02:11:54.090000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:16:35.020000,Detection,,,R50D6,,,0.7881516814231873,,False,,2024-08-23_36,2024-08-23T02:16:35.020000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:19:35.980000,Detection,,,R50D6,,,0.357687771320343,,False,,2024-08-23_37,2024-08-23T02:19:35.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:24:06,Detection,,,R50D6,,,0.5255337357521057,,False,,2024-08-23_38,2024-08-23T02:24:06,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:27:43.870000,Detection,,,R50D6,,,0.2445470988750457,,False,,2024-08-23_39,2024-08-23T02:27:43.870000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:27:46.680000,Detection,,,R50D6,,,,,False,,2024-08-23_40,,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:37:52.760000,Detection,,,R50D6,,,0.3639522492885589,,False,,2024-08-23_41,2024-08-23T02:37:52.760000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:42:44.970000,Detection,,,R50D6,,,0.6905864477157593,,False,,2024-08-23_42,2024-08-23T02:42:44.970000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:43:10.140000,Detection,,,R50D6,,,0.6037183403968811,,False,,2024-08-23_43,2024-08-23T02:43:10.140000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:43:44.590000,Detection,,,R50D6,,,0.3332608342170715,,False,,2024-08-23_44,2024-08-23T02:43:44.590000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:46:19.510000,Detection,,,R50D6,,,0.6843689680099487,,False,,2024-08-23_45,2024-08-23T02:46:19.510000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:48:51.010000,Detection,,,R50D6,,,0.2468079477548599,,False,,2024-08-23_46,2024-08-23T02:48:51.010000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:49:22.920000,Detection,,,R50D6,,,0.2497825771570205,,False,,2024-08-23_47,2024-08-23T02:49:22.920000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:55:38.150000,Detection,,,R50D6,,,0.24483522772789,,False,,2024-08-23_48,2024-08-23T02:55:38.150000,
True,,AM,2024-08-23,,,,,,,2024-08-23T02:57:58.470000,Detection,,,R50D6,,,0.4382400214672088,,False,,2024-08-23_49,2024-08-23T02:57:58.470000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:09:13.050000,Detection,,,R50D6,,,0.3329286873340606,,False,,2024-08-23_50,2024-08-23T03:09:13.050000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:12:54,Detection,,,R50D6,,,0.2123234421014785,,False,,2024-08-23_51,2024-08-23T03:12:54,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:28:06.130000,Detection,,,R50D6,,,0.4411213994026184,,False,,2024-08-23_52,2024-08-23T03:28:06.130000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:28:06.880000,Detection,,,R50D6,,,0.2099573463201522,,False,,2024-08-23_53,2024-08-23T03:28:06.880000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:29:35.980000,Detection,,,R50D6,,,0.2440508306026458,,False,,2024-08-23_54,2024-08-23T03:29:35.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:30:38.990000,Detection,,,R50D6,,,0.2011410742998123,,False,,2024-08-23_55,2024-08-23T03:30:38.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:40:23.150000,Detection,,,R50D6,,,0.4785265028476715,,False,,2024-08-23_56,2024-08-23T03:40:23.150000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:47:08.010000,Detection,,,R50D6,,,0.5964372158050537,,False,,2024-08-23_57,2024-08-23T03:47:08.010000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:58:10.030000,Detection,,,R50D6,,,0.5290547609329224,,False,,2024-08-23_58,2024-08-23T03:58:10.030000,
True,,AM,2024-08-23,,,,,,,2024-08-23T03:58:10.800000,Detection,,,R50D6,,,,,False,,2024-08-23_59,,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:00:21.940000,Detection,,,R50D6,,,0.3178092539310455,,False,,2024-08-23_60,2024-08-23T04:00:21.940000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:19:20.970000,Detection,,,R50D6,,,0.251569539308548,,False,,2024-08-23_61,2024-08-23T04:19:20.970000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:19:52.030000,Detection,,,R50D6,,,0.3936178088188171,,False,,2024-08-23_62,2024-08-23T04:19:52.030000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:20:07.960000,Detection,,,R50D6,,,0.2099191099405288,,False,,2024-08-23_63,2024-08-23T04:20:07.960000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:23:07.980000,Detection,,,R50D6,,,0.4944280087947845,,False,,2024-08-23_64,2024-08-23T04:23:07.980000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:23:08.990000,Detection,,,R50D6,,,0.2195190042257309,,False,,2024-08-23_65,2024-08-23T04:23:08.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:24:52.060000,Detection,,,R50D6,,,0.4952103495597839,,False,,2024-08-23_66,2024-08-23T04:24:52.060000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:25:21.080000,Detection,,,R50D6,,,0.7087300419807434,,False,,2024-08-23_67,2024-08-23T04:25:21.080000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:28:21.960000,Detection,,,R50D6,,,0.4522690176963806,,False,,2024-08-23_68,2024-08-23T04:28:21.960000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:35:39.020000,Detection,,,R50D6,,,0.732419490814209,,False,,2024-08-23_69,2024-08-23T04:35:39.020000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:37:53.040000,Detection,,,R50D6,,,0.5152786374092102,,False,,2024-08-23_70,2024-08-23T04:37:53.040000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:38:11.090000,Detection,,,R50D6,,,0.4000152349472046,,False,,2024-08-23_71,2024-08-23T04:38:11.090000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:40:08.120000,Detection,,,R50D6,,,0.7547982931137085,,False,,2024-08-23_72,2024-08-23T04:40:08.120000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:40:38,Detection,,,R50D6,,,0.3040375113487243,,False,,2024-08-23_73,2024-08-23T04:40:38,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:40:43.460000,Detection,,,R50D6,,,0.4148608744144439,,False,,2024-08-23_74,2024-08-23T04:40:43.460000,
True,,AM,2024-08-23,,,,,,,2024-08-23T04:46:06.980000,Detection,,,R50D6,,,0.4495609700679779,,False,,2024-08-23_75,2024-08-23T04:46:06.980000,
