long,date,time,s_error,p_detected,unique_id,mag_type,s_confidence,catalogued,plot_path,p_error,lat,depth,event_id,s_detected,epi_distance,mag,s_predicted,code,detected,provider,p_confidence,p_predicted,network
,2024-08-23,2024-08-23T01:43:24.110000,,2024-08-23T01:43:24.110000,2024-08-23_32,,,False,,,,,,,,,,R50D6,True,Detection,0.443050354719162,,AM
,2024-08-23,2024-08-23T01:57:30.400000,,2024-08-23T01:57:30.400000,2024-08-23_33,,,False,,,,,,,,,,R50D6,True,Detection,0.7367016077041626,,AM
,2024-08-23,2024-08-23T01:57:34.270000,,,2024-08-23_34,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T02:11:54.090000,,2024-08-23T02:11:54.090000,2024-08-23_35,,,False,,,,,,,,,,R50D6,True,Detection,0.3254780769348144,,AM
,2024-08-23,2024-08-23T02:16:35.020000,,2024-08-23T02:16:35.020000,2024-08-23_36,,,False,,,,,,,,,,R50D6,True,Detection,0.7881516814231873,,AM
,2024-08-23,2024-08-23T02:19:35.980000,,2024-08-23T02:19:35.980000,2024-08-23_37,,,False,,,,,,,,,,R50D6,True,Detection,0.357687771320343,,AM
,2024-08-23,2024-08-23T02:24:06,,2024-08-23T02:24:06,2024-08-23_38,,,False,,,,,,,,,,R50D6,True,Detection,0.5255337357521057,,AM
,2024-08-23,2024-08-23T02:27:43.870000,,2024-08-23T02:27:43.870000,2024-08-23_39,,,False,,,,,,,,,,R50D6,True,Detection,0.2445470988750457,,AM
,2024-08-23,2024-08-23T02:27:46.680000,,,2024-08-23_40,,,False,,,,,,,,,,R50D6,True,Detection,,,AM
,2024-08-23,2024-08-23T02:37:52.760000,,2024-08-23T02:37:52.760000,2024-08-23_41,,,False,,,,,,,,,,R50D6,True,Detection,0.3639522492885589,,AM
,2024-08-23,2024-08-23T02:42:44.970000,,2024-08-23T02:42:44.970000,2024-08-23_42,,,False,,,,,,,,,,R50D6,True,Detection,0.6905864477157593,,AM
,2024-08-23,2024-08-23T02:43:10.140000,,2024-08-23T02:43:10.140000,2024-08-23_43,,,False,,,,,,,,,,R50D6,True,Detection,0.6037183403968811,,AM
,2024-08-23,2024-08-23T02:43:44.590000,,2024-08-23T02:43:44.590000,2024-08-23_44,,,False,,,,,,,,,,R50D6,True,Detection,0.3332608342170715,,AM
,2024-08-23,2024-08-23T02:46:19.510000,,2024-08-23T02:46:19.510000,2024-08-23_45,,,False,,,,,,,,,,R50D6,True,Detection,0.6843689680099487,,AM
