p_detected,s_error,s_confidence,date,code,s_predicted,depth,long,event_id,network,mag,lat,s_detected,time,unique_id,plot_path,mag_type,catalogued,p_confidence,epi_distance,detected,provider,p_error,p_predicted
2024-07-01T01:37:51.050000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:37:51.050000,2024-07-01_31,,,False,0.653323769569397,,True,Detection,,
2024-07-01T01:37:52.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:37:52.010000,2024-07-01_32,,,False,0.2256316095590591,,True,Detection,,
2024-07-01T01:39:42.870000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:39:42.870000,2024-07-01_33,,,False,0.2714485824108124,,True,Detection,,
2024-07-01T01:42:25.320000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:42:25.320000,2024-07-01_34,,,False,0.3895138204097748,,True,Detection,,
2024-07-01T01:47:54.290000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:47:54.290000,2024-07-01_35,,,False,0.2351109683513641,,True,Detection,,
2024-07-01T01:49:07.020000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:49:07.020000,2024-07-01_36,,,False,0.4166315495967865,,True,Detection,,
2024-07-01T01:49:08.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:49:08.010000,2024-07-01_37,,,False,0.2327240705490112,,True,Detection,,
2024-07-01T01:50:48.240000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:50:48.240000,2024-07-01_38,,,False,0.453451007604599,,True,Detection,,
2024-07-01T01:55:39.410000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:55:39.410000,2024-07-01_39,,,False,0.4873546659946441,,True,Detection,,
2024-07-01T01:57:07.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T01:57:07.010000,2024-07-01_40,,,False,0.8624732494354248,,True,Detection,,
2024-07-01T02:15:53.120000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:15:53.120000,2024-07-01_41,,,False,0.7057668566703796,,True,Detection,,
2024-07-01T02:16:22.030000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:16:22.030000,2024-07-01_42,,,False,0.2953314185142517,,True,Detection,,
2024-07-01T02:19:01.120000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:19:01.120000,2024-07-01_43,,,False,0.5588731169700623,,True,Detection,,
2024-07-01T02:20:23.900000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:20:23.900000,2024-07-01_44,,,False,0.6314880847930908,,True,Detection,,
2024-07-01T02:20:53.020000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:20:53.020000,2024-07-01_45,,,False,0.5664408802986145,,True,Detection,,
2024-07-01T02:20:54,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:20:54,2024-07-01_46,,,False,0.2078416496515274,,True,Detection,,
2024-07-01T02:26:38,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:26:38,2024-07-01_47,,,False,0.632335364818573,,True,Detection,,
2024-07-01T02:35:23.470000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:35:23.470000,2024-07-01_48,,,False,0.3194242417812347,,True,Detection,,
,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:35:24.050000,2024-07-01_49,,,False,,,True,Detection,,
2024-07-01T02:46:57.200000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:46:57.200000,2024-07-01_50,,,False,0.516664981842041,,True,Detection,,
2024-07-01T02:53:54.090000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:53:54.090000,2024-07-01_51,,,False,0.7289851903915405,,True,Detection,,
2024-07-01T02:59:37.960000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T02:59:37.960000,2024-07-01_52,,,False,0.2479211986064911,,True,Detection,,
2024-07-01T03:02:12.940000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:02:12.940000,2024-07-01_53,,,False,0.6671957969665527,,True,Detection,,
2024-07-01T03:07:40.530000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:07:40.530000,2024-07-01_54,,,False,0.2419448643922805,,True,Detection,,
2024-07-01T03:09:33.820000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:09:33.820000,2024-07-01_55,,,False,0.2615258395671844,,True,Detection,,
2024-07-01T03:18:37.020000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:18:37.020000,2024-07-01_56,,,False,0.2293398529291153,,True,Detection,,
2024-07-01T03:18:37.990000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:18:37.990000,2024-07-01_57,,,False,0.676794707775116,,True,Detection,,
2024-07-01T03:29:12.740000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:29:12.740000,2024-07-01_58,,,False,0.2358987629413604,,True,Detection,,
2024-07-01T03:47:38.980000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:47:38.980000,2024-07-01_59,,,False,0.7026844024658203,,True,Detection,,
2024-07-01T03:55:39.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T03:55:39.010000,2024-07-01_60,,,False,0.8247423768043518,,True,Detection,,
2024-07-01T04:01:16.590000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:01:16.590000,2024-07-01_61,,,False,0.2529563307762146,,True,Detection,,
2024-07-01T04:17:21.880000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:17:21.880000,2024-07-01_62,,,False,0.8458876013755798,,True,Detection,,
,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:17:22.250000,2024-07-01_63,,,False,,,True,Detection,,
2024-07-01T04:22:36.990000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:22:36.990000,2024-07-01_64,,,False,0.5583996772766113,,True,Detection,,
2024-07-01T04:26:24.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:26:24.010000,2024-07-01_65,,,False,0.3673881292343139,,True,Detection,,
2024-07-01T04:33:53,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:33:53,2024-07-01_66,,,False,0.7363027334213257,,True,Detection,,
2024-07-01T04:35:58.360000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:35:58.360000,2024-07-01_67,,,False,0.5208491683006287,,True,Detection,,
2024-07-01T04:36:22.070000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:36:22.070000,2024-07-01_68,,,False,0.6867411732673645,,True,Detection,,
2024-07-01T04:39:36.970000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:39:36.970000,2024-07-01_69,,,False,0.2087379544973373,,True,Detection,,
2024-07-01T04:44:07.010000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:44:07.010000,2024-07-01_70,,,False,0.697676956653595,,True,Detection,,
2024-07-01T04:54:09,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:54:09,2024-07-01_71,,,False,0.3037498891353607,,True,Detection,,
2024-07-01T04:54:15.110000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T04:54:15.110000,2024-07-01_72,,,False,0.2537305653095245,,True,Detection,,
2024-07-01T05:00:05.040000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:00:05.040000,2024-07-01_73,,,False,0.434828907251358,,True,Detection,,
2024-07-01T05:03:35.990000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:03:35.990000,2024-07-01_74,,,False,0.3596891164779663,,True,Detection,,
2024-07-01T05:07:23.130000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:07:23.130000,2024-07-01_75,,,False,0.3868880569934845,,True,Detection,,
2024-07-01T05:10:37.970000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:10:37.970000,2024-07-01_76,,,False,0.4663176238536834,,True,Detection,,
2024-07-01T05:10:47.150000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:10:47.150000,2024-07-01_77,,,False,0.3280434310436249,,True,Detection,,
2024-07-01T05:11:51.130000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:11:51.130000,2024-07-01_78,,,False,0.2372901439666748,,True,Detection,,
2024-07-01T05:11:52.110000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:11:52.110000,2024-07-01_79,,,False,0.426778495311737,,True,Detection,,
2024-07-01T05:16:26.270000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:16:26.270000,2024-07-01_80,,,False,0.65202397108078,,True,Detection,,
2024-07-01T05:27:40.960000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:27:40.960000,2024-07-01_81,,,False,0.7876696586608887,,True,Detection,,
,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:27:41.560000,2024-07-01_82,,,False,,,True,Detection,,
2024-07-01T05:28:20.960000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:28:20.960000,2024-07-01_83,,,False,0.2577889561653137,,True,Detection,,
2024-07-01T05:30:06,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:30:06,2024-07-01_84,,,False,0.3102029263973236,,True,Detection,,
2024-07-01T05:32:20.030000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:32:20.030000,2024-07-01_85,,,False,0.2121268212795257,,True,Detection,,
2024-07-01T05:33:36.990000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:33:36.990000,2024-07-01_86,,,False,0.4352668821811676,,True,Detection,,
2024-07-01T05:33:37.990000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:33:37.990000,2024-07-01_87,,,False,0.4072276353836059,,True,Detection,,
2024-07-01T05:35:22.120000,,,2024-07-01,R50D6,,,,,AM,,,,2024-07-01T05:35:22.120000,2024-07-01_88,,,False,0.5763738751411438,,True,Detection,,
