s_detected,event_id,mag,provider,s_error,lat,date,long,p_detected,s_predicted,depth,s_confidence,p_confidence,p_error,code,time,network,unique_id,epi_distance,catalogued,detected,mag_type,plot_path,p_predicted
,,,Detection,,,2024-08-16,,2024-08-16T01:15:20.920000,,,,0.2816944718360901,,R50D6,2024-08-16T01:15:20.920000,AM,2024-08-16_33,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:15:52.050000,,,,0.236100360751152,,R50D6,2024-08-16T01:15:52.050000,AM,2024-08-16_34,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:15:53.070000,,,,0.1241284385323524,,R50D6,2024-08-16T01:15:53.070000,AM,2024-08-16_35,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:23:04.100000,,,,0.5111801028251648,,R50D6,2024-08-16T01:23:04.100000,AM,2024-08-16_36,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:23:43.140000,,,,0.1802764236927032,,R50D6,2024-08-16T01:23:43.140000,AM,2024-08-16_37,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:24:33.870000,,,,0.1265597194433212,,R50D6,2024-08-16T01:24:33.870000,AM,2024-08-16_38,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:30:19.540000,,,,0.2013973295688629,,R50D6,2024-08-16T01:30:19.540000,AM,2024-08-16_39,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:34:08.870000,,,,0.2764007449150085,,R50D6,2024-08-16T01:34:08.870000,AM,2024-08-16_40,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:36:03.870000,,,,0.1229830980300903,,R50D6,2024-08-16T01:36:03.870000,AM,2024-08-16_41,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:38:21.030000,,,,0.1128422245383262,,R50D6,2024-08-16T01:38:21.030000,AM,2024-08-16_42,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:38:52.790000,,,,0.1859624534845352,,R50D6,2024-08-16T01:38:52.790000,AM,2024-08-16_43,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:39:48.530000,,,,0.5414990186691284,,R50D6,2024-08-16T01:39:48.530000,AM,2024-08-16_44,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:43:43.150000,,,,0.6432957649230957,,R50D6,2024-08-16T01:43:43.150000,AM,2024-08-16_45,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:46:39.950000,,,,0.2879926860332489,,R50D6,2024-08-16T01:46:39.950000,AM,2024-08-16_46,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:48:54.830000,,,,0.7600782513618469,,R50D6,2024-08-16T01:48:54.830000,AM,2024-08-16_47,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:49:51.060000,,,,0.5914287567138672,,R50D6,2024-08-16T01:49:51.060000,AM,2024-08-16_48,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:57:53.040000,,,,0.2271275222301483,,R50D6,2024-08-16T01:57:53.040000,AM,2024-08-16_49,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:04:47.550000,,,,0.3123891353607178,,R50D6,2024-08-16T02:04:47.550000,AM,2024-08-16_50,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:06:07.010000,,,,0.2923588156700134,,R50D6,2024-08-16T02:06:07.010000,AM,2024-08-16_51,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:07:39.370000,,,,0.6945490837097168,,R50D6,2024-08-16T02:07:39.370000,AM,2024-08-16_52,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:09:05.010000,,,,0.5164416432380676,,R50D6,2024-08-16T02:09:05.010000,AM,2024-08-16_53,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T02:09:05.980000,,,,0.1084610223770141,,R50D6,2024-08-16T02:09:05.980000,AM,2024-08-16_54,,False,True,,,
