unique_id,detected,s_predicted,network,event_id,lat,plot_path,depth,mag,code,s_confidence,date,s_detected,mag_type,p_detected,long,s_error,catalogued,time,p_error,provider,p_confidence,p_predicted,epi_distance
2024-08-23_33,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T04:58:40.010000,,,False,2024-08-23T04:58:40.010000,,Detection,0.8887987732887268,,
2024-08-23_34,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:00:37.020000,,,False,2024-08-23T05:00:37.020000,,Detection,0.6365383267402649,,
2024-08-23_35,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:05:21.060000,,,False,2024-08-23T05:05:21.060000,,Detection,0.5471760034561157,,
2024-08-23_36,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:10:36.990000,,,False,2024-08-23T05:10:36.990000,,Detection,0.5975321531295776,,
2024-08-23_37,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:13:20.790000,,,False,2024-08-23T05:13:20.790000,,Detection,0.6004816889762878,,
2024-08-23_38,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:16:05.010000,,,False,2024-08-23T05:16:05.010000,,Detection,0.7988004684448242,,
2024-08-23_39,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:21:29.930000,,,False,2024-08-23T05:21:29.930000,,Detection,0.6184221506118774,,
2024-08-23_40,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:28:54.990000,,,False,2024-08-23T05:28:54.990000,,Detection,0.6015134453773499,,
2024-08-23_41,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:42:21.890000,,,False,2024-08-23T05:42:21.890000,,Detection,0.5336184501647949,,
2024-08-23_42,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:44:38.010000,,,False,2024-08-23T05:44:38.010000,,Detection,0.7905741333961487,,
2024-08-23_43,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:45:19.730000,,,False,2024-08-23T05:45:19.730000,,Detection,0.5410248041152954,,
2024-08-23_44,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T05:45:20.530000,,Detection,,,
2024-08-23_45,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T05:48:32.520000,,Detection,,,
2024-08-23_46,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:48:54.160000,,,False,2024-08-23T05:48:54.160000,,Detection,0.6738490462303162,,
2024-08-23_47,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T05:48:54.420000,,Detection,,,
2024-08-23_48,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:52:26.240000,,,False,2024-08-23T05:52:26.240000,,Detection,0.8249998092651367,,
2024-08-23_49,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:52:56.970000,,,False,2024-08-23T05:52:56.970000,,Detection,0.8334150910377502,,
2024-08-23_50,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:54:10.830000,,,False,2024-08-23T05:54:10.830000,,Detection,0.6210201382637024,,
2024-08-23_51,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:55:30.690000,,,False,2024-08-23T05:55:30.690000,,Detection,0.5458056926727295,,
2024-08-23_52,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T05:59:11.980000,,,False,2024-08-23T05:59:11.980000,,Detection,0.6869409680366516,,
2024-08-23_53,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:02:13.150000,,,False,2024-08-23T06:02:13.150000,,Detection,0.6239530444145203,,
2024-08-23_54,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:05:01.990000,,,False,2024-08-23T06:05:01.990000,,Detection,0.6823288798332214,,
2024-08-23_55,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:11:36.010000,,,False,2024-08-23T06:11:36.010000,,Detection,0.8951411247253418,,
2024-08-23_56,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:17:38.560000,,,False,2024-08-23T06:17:38.560000,,Detection,0.5429345965385437,,
2024-08-23_57,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:18:01.070000,,,False,2024-08-23T06:18:01.070000,,Detection,0.6125131845474243,,
2024-08-23_58,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:26:25.780000,,,False,2024-08-23T06:26:25.780000,,Detection,0.7320002317428589,,
2024-08-23_59,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T06:26:26.300000,,Detection,,,
2024-08-23_60,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:27:06.020000,,,False,2024-08-23T06:27:06.020000,,Detection,0.6920270919799805,,
2024-08-23_61,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:28:23,,,False,2024-08-23T06:28:23,,Detection,0.6206567287445068,,
2024-08-23_62,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:29:20.040000,,,False,2024-08-23T06:29:20.040000,,Detection,0.8843703269958496,,
2024-08-23_63,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:30:39,,,False,2024-08-23T06:30:39,,Detection,0.8769389986991882,,
2024-08-23_64,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:31:25.020000,,,False,2024-08-23T06:31:25.020000,,Detection,0.8881336450576782,,
2024-08-23_65,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T06:31:25.600000,,Detection,,,
2024-08-23_66,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:34:19.040000,,,False,2024-08-23T06:34:19.040000,,Detection,0.7282018661499023,,
2024-08-23_67,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:37:20.020000,,,False,2024-08-23T06:37:20.020000,,Detection,0.6152058839797974,,
2024-08-23_68,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T06:37:20.310000,,Detection,,,
2024-08-23_69,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T06:37:46.670000,,Detection,,,
2024-08-23_70,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:38:37.060000,,,False,2024-08-23T06:38:37.060000,,Detection,0.5022830367088318,,
2024-08-23_71,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T06:49:07.980000,,,False,2024-08-23T06:49:07.980000,,Detection,0.5129600167274475,,
