unique_id,p_error,network,s_confidence,p_predicted,p_detected,s_predicted,code,lat,plot_path,epi_distance,mag_type,provider,p_confidence,detected,catalogued,s_error,long,date,time,s_detected,mag,event_id,depth
2024-08-24_48,,AM,,2024-08-24T22:07:34.788299,,2024-08-24T22:11:20.154566,R50D6,35.4793,,2149.8382507875644,ml,EMSC,,False,True,,-3.5187,2024-08-24,2024-08-24T22:03:01.330000,,1.6,quakeml:eu.emsc/event/20240824_0000259,21.2
2024-08-24_49,,AM,,2024-08-24T22:14:10.686752,,2024-08-24T22:24:12.249558,R50D6,16.71,,8792.923031454953,m,EMSC,,False,True,,-96.27,2024-08-24,2024-08-24T22:02:04,,3.6,quakeml:eu.emsc/event/20240824_0000274,70.6
2024-08-24_50,,AM,,2024-08-24T22:05:34.301958,,2024-08-24T22:10:38.963418,R50D6,38.0114,,3405.373744579483,ml,EMSC,,False,True,,36.5758,2024-08-24,2024-08-24T21:59:18,,1.1,quakeml:eu.emsc/event/20240824_0000270,7.0
2024-08-24_51,,AM,,2024-08-24T22:01:32.573390,,2024-08-24T22:03:48.507099,R50D6,45.8182,,1332.925135055504,ml,EMSC,,False,True,,11.0083,2024-08-24,2024-08-24T21:58:40.220000,,0.9,quakeml:eu.emsc/event/20240824_0000247,18.0
2024-08-24_52,,AM,,2024-08-24T21:32:45.283390,,2024-08-24T21:35:01.217099,R50D6,45.8182,,1332.925135055504,ml,EMSC,,False,True,,11.0083,2024-08-24,2024-08-24T21:29:52.930000,,0.7,quakeml:eu.emsc/event/20240824_0000242,18.0
2024-08-24_53,,AM,,2024-08-24T21:30:28.315102,,2024-08-24T21:32:24.439930,R50D6,46.2336,,1130.239218091661,ml,EMSC,,False,True,,7.1723,2024-08-24,2024-08-24T21:28:01,,0.2,quakeml:eu.emsc/event/20240824_0000246,1.9
2024-08-24_54,,AM,,2024-08-24T21:26:50.816369,,2024-08-24T21:28:46.862999,R50D6,46.327,,1129.3899071888882,ml,EMSC,,False,True,,7.3828,2024-08-24,2024-08-24T21:24:23.600000,,0.9,quakeml:eu.emsc/event/20240824_0000241,4.4
2024-08-24_55,,AM,,2024-08-24T21:29:44.181781,,2024-08-24T21:39:09.665908,R50D6,38.6797,,8027.115400930556,ml,EMSC,,False,True,,-118.5813,2024-08-24,2024-08-24T21:18:16.327340,,2.3,quakeml:eu.emsc/event/20240824_0000238,5.4
2024-08-24_56,11.282567,AM,,2024-08-24T21:19:13.807433,2024-08-24T21:19:25.090000,2024-08-24T21:23:50.124745,R50D6,37.8197,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_56_event_plot.png?raw=true,3011.766024862605,ml,EMSC,0.3779605329036712,True,True,,29.7197,2024-08-24,2024-08-24T21:13:25,,1.6,quakeml:eu.emsc/event/20240824_0000244,7.3
2024-08-24_57,21.588269,AM,,2024-08-24T21:14:01.541731,2024-08-24T21:14:23.130000,2024-08-24T21:18:37.393818,R50D6,37.9739,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_57_event_plot.png?raw=true,2849.8439210348133,ml,EMSC,0.6303313374519348,True,True,,27.1061,2024-08-24,2024-08-24T21:08:27,,2.0,quakeml:eu.emsc/event/20240824_0000239,7.2
2024-08-24_58,,AM,,2024-08-24T21:18:20.556411,,2024-08-24T21:29:06.327943,R50D6,32.0189,,9777.498975869252,mb,EMSC,,False,True,,142.6843,2024-08-24,2024-08-24T21:05:27.972000,,4.5,quakeml:eu.emsc/event/20240824_0000240,10.0
2024-08-24_59,,AM,,2024-08-24T21:16:34.839142,,2024-08-24T21:26:50.783145,R50D6,18.1,,9105.156776264044,m,EMSC,,False,True,,-103.41,2024-08-24,2024-08-24T21:04:13,,3.6,quakeml:eu.emsc/event/20240824_0000275,5.0
2024-08-24_60,,AM,,2024-08-24T21:03:32.258490,,2024-08-24T21:06:43.085421,R50D6,38.6434,,1794.053543788153,ml,EMSC,,False,True,,-0.6434,2024-08-24,2024-08-24T20:59:40.550000,,1.6,quakeml:eu.emsc/event/20240824_0000256,11.5
2024-08-24_61,-21.505277,AM,,2024-08-24T21:11:43.295277,2024-08-24T21:11:21.790000,2024-08-24T21:22:29.767896,R50D6,15.279,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_61_event_plot.png?raw=true,9804.56301160392,m,EMSC,0.2368141263723373,True,True,,107.678,2024-08-24,2024-08-24T20:58:50,,3.6,quakeml:eu.emsc/event/20240824_0000243,10.0
2024-08-24_62,,AM,,2024-08-24T21:01:08.389572,,2024-08-24T21:04:19.293020,R50D6,38.6345,,1794.9415227648512,ml,EMSC,,False,True,,-0.6791,2024-08-24,2024-08-24T20:57:16.590000,,2.2,quakeml:eu.emsc/event/20240824_0000236,5.8
2024-08-24_63,18.907186,AM,,2024-08-24T20:58:40.872814,2024-08-24T20:58:59.780000,2024-08-24T21:03:45.202957,R50D6,37.8694,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_63_event_plot.png?raw=true,3400.065538958725,ml,EMSC,0.1953565925359726,True,True,,36.3042,2024-08-24,2024-08-24T20:52:25,,2.7,quakeml:eu.emsc/event/20240824_0000234,7.0
2024-08-24_64,,AM,,2024-08-24T20:53:16.393692,,2024-08-24T20:58:45.664222,R50D6,37.5655,,3807.115162884363,ml,EMSC,,False,True,,42.479,2024-08-24,2024-08-24T20:46:28.400000,,2.2,quakeml:eu.emsc/event/20240824_0000233,6.4
2024-08-24_65,10.103793,AM,,2024-08-24T20:57:30.896207,2024-08-24T20:57:41,2024-08-24T21:07:44.031886,R50D6,20.02,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_65_event_plot.png?raw=true,9041.905236247969,m,EMSC,0.2432643771171569,True,True,,-105.29,2024-08-24,2024-08-24T20:45:12,,3.0,quakeml:eu.emsc/event/20240824_0000276,10.6
2024-08-24_66,,AM,,2024-08-24T20:46:40.946588,,2024-08-24T20:50:58.994294,R50D6,40.26,,2492.676027246888,ml,EMSC,,False,True,,24.18,2024-08-24,2024-08-24T20:41:37.600000,,2.0,quakeml:eu.emsc/event/20240824_0000230,10.0
2024-08-24_67,,AM,,2024-08-24T20:43:57.939386,,2024-08-24T20:49:02.398151,R50D6,37.8748,,3402.158553159824,ml,EMSC,,False,True,,36.3455,2024-08-24,2024-08-24T20:37:41.900000,,2.2,quakeml:eu.emsc/event/20240824_0000231,9.8
2024-08-24_68,,AM,,2024-08-24T20:40:02.412895,,2024-08-24T20:49:57.138091,R50D6,17.26,,8646.591119753479,m,EMSC,,False,True,,-94.72,2024-08-24,2024-08-24T20:28:03,,3.5,quakeml:eu.emsc/event/20240824_0000277,149.4
2024-08-24_69,,AM,,2024-08-24T20:31:44.890015,,2024-08-24T20:36:27.047979,R50D6,37.89,,2683.2619342164035,ml,EMSC,,False,True,,23.93,2024-08-24,2024-08-24T20:26:25,,2.0,quakeml:eu.emsc/event/20240824_0000229,5.0
